,Name,Pos,Team,Opp,ETR MP,Salary,ETRProj,Value,Ceiling,Own,Site,Slate,Scenario,ID,DKName
69,Tre Mann,PG/SG,CHA,LAL,24.5,"$5,400",24.9,-2.7,33.1,1.5%,DK,MAIN,Default,40738490,Tre Mann
70,Daniel Gafford,C,DAL,MIL,22.0,"$5,300",24.9,-2.3,32.8,0.1%,DK,MAIN,Default,40738507,Daniel Gafford
71,Rui Hachimura,PF,LAL,CHA,34.0,"$5,800",24.8,-4.4,31.1,0.1%,DK,MAIN,Default,40738462,Rui Hachimura
72,Derik Queen,PF/C,NOP,PHX,21.0,"$4,800",24.7,-0.5,32.9,8.5%,DK,MAIN,Default,40738572,Derik Queen
73,Duncan Robinson,SG,DET,WAS,32.5,"$4,500",24.4,0.4,31.7,6.2%,DK,MAIN,Default,40738613,Duncan Robinson
74,Saddiq Bey,SF/PF,NOP,PHX,29.0,"$4,800",24.2,-1.0,31.2,8.1%,DK,MAIN,Default,40738581,Saddiq Bey
75,Isaiah Collier,PG,UTA,MIN,26.0,"$5,300",23.6,-3.6,32.1,1.0%,DK,MAIN,Default,40738501,Isaiah Collier
76,Max Christie,SG/SF,DAL,MIL,30.5,"$5,100",23.2,-3.2,29.9,0.1%,DK,MAIN,Default,40738530,Max Christie
77,Marcus Smart,PG/SF,LAL,CHA,29.0,"$5,000",22.8,-3.2,31.2,0.9%,DK,MAIN,Default,40738549,Marcus Smart
78,Tre Johnson,PG/SG,WAS,DET,28.5,"$4,600",22.8,-1.6,30.4,4.2%,DK,MAIN,Default,40738609,Tre Johnson
79,Cole Anthony,PG/SG,MIL,DAL,20.5,"$4,900",22.7,-2.9,30.9,1.3%,DK,MAIN,Default,40738566,Cole Anthony
80,Bobby Portis,PF/C,MIL,DAL,21.5,"$5,500",22.5,-5.5,30.4,0.1%,DK,MAIN,Default,40738483,Bobby Portis
81,Kyle Kuzma,SF/PF,MIL,DAL,26.0,"$5,100",22.2,-4.2,29.4,0.3%,DK,MAIN,Default,40738523,Kyle Kuzma
82,Jalen Smith,C,CHI,SAS,16.5,"$4,300",21.8,-1.4,28.9,1.9%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738639,Jalen Smith
83,Moussa Diabate,C,CHA,LAL,20.0,"$4,600",21.6,-2.8,29.1,0.9%,DK,MAIN,Default,40738607,Moussa Diabate
84,Naji Marshall,SF/PF,DAL,MIL,26.0,"$5,200",21.6,-5.2,29.5,0.1%,DK,MAIN,Default,40738515,Naji Marshall
85,Yves Missi,C,NOP,PHX,22.0,"$4,900",21.2,-4.4,28.3,0.4%,DK,MAIN,Default,40738570,Yves Missi
86,Pelle Larsson,SF,MIA,CLE,25.5,"$4,500",21.1,-2.9,29.0,0.7%,DK,MAIN,Default,40738616,Pelle Larsson
87,Jake LaRavia,SG/SF,LAL,CHA,26.0,"$6,000",20.6,-9.4,28.4,0.0%,DK,MAIN,Default,40738440,Jake LaRavia
88,Khris Middleton,SF,WAS,DET,22.0,"$5,000",20.6,-5.4,28.6,0.1%,DK,MAIN,Default,40738537,Khris Middleton
89,Gary Trent Jr.,SF,MIL,DAL,29.0,"$4,700",20.5,-4.3,27.3,0.4%,DK,MAIN,Default,40738596,Gary Trent Jr.
90,Bub Carrington,PG,WAS,DET,26.0,"$4,200",20.2,-2.6,28.2,0.9%,DK,MAIN,Default,40738647,Bub Carrington
91,Lonzo Ball,PG/SG,CLE,MIA,21.5,"$4,100",20.1,-2.3,27.8,1.9%,DK,MAIN,Default,40738660,Lonzo Ball
92,Harrison Barnes,PF,SAS,CHI,27.0,"$4,900",20.0,-5.6,26.5,0.2%,DK,MAIN,Default,40738563,Harrison Barnes
93,Kyle Filipowski,PF/C,UTA,MIN,20.0,"$4,000",20.0,-2.0,27.9,3.7%,DK,MAIN,Default,40738684,Kyle Filipowski
94,Brandon Williams,PG,DAL,MIL,19.5,"$4,000",19.8,-2.2,27.8,0.0%,DK,MAIN,Default,40738678,Brandon Williams
