,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Ceiling100,LastUpdate
109,De'Von Achane,MIA,NOR,RB,0.0,0.0,0.0,0.0,0.0,17.49,87.04,0.48,6.3,5.32,39.35,0.33,0.81,140.0,2025-12-01 01:24:46 PM
110,DeAndre Hopkins,BAL,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.4,23.2,0.2,0.2,100.0,2025-12-01 01:24:46 PM
111,DeMario Douglas,NWE,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.8,4.0,0.01,2.0,1.36,19.65,0.16,0.17,100.0,2025-12-01 01:24:46 PM
112,DeVonta Smith,PHI,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.8,66.6,0.44,0.44,114.0,2025-12-01 01:24:46 PM
113,Dee Eskridge,MIA,NOR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,3.4,0.01,0.01,100.0,2025-12-01 01:24:46 PM
114,Deebo Samuel,WAS,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.9,3.7,0.05,7.1,5.05,48.42,0.35,0.4,89.0,2025-12-01 01:24:46 PM
115,Demarcus Robinson,SF,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.07,14.33,0.05,0.05,100.0,2025-12-01 01:24:46 PM
116,Derius Davis,LAC,LVR,WR,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.3,0.2,1.7,0.01,0.01,100.0,2025-12-01 01:24:46 PM
117,Derrick Henry,BAL,CIN,RB,0.0,0.0,0.0,0.0,0.0,18.9,100.8,1.04,2.0,1.7,13.5,0.05,1.09,138.0,2025-12-01 01:24:46 PM
118,Devaughn Vele,NOR,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.9,33.17,0.19,0.19,71.0,2025-12-01 01:24:46 PM
119,Deven Thompkins,ATL,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,5.2,0.02,0.02,100.0,2025-12-01 01:24:46 PM
120,Devin Culp,TB,ARZ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,100.0,2025-12-01 01:24:46 PM
121,Devin Duvernay,CHI,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,100.0,2025-12-01 01:24:46 PM
122,Devin Neal,NOR,MIA,RB,0.0,0.0,0.0,0.0,0.0,10.6,40.68,0.15,5.5,4.17,27.49,0.07,0.22,90.0,2025-12-01 01:24:46 PM
123,Devin Singletary,NYG,NWE,RB,0.0,0.0,0.0,0.0,0.0,8.1,29.6,0.29,1.0,0.86,6.2,0.02,0.31,100.0,2025-12-01 01:24:46 PM
124,Devontez Walker,BAL,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,7.6,0.04,0.04,100.0,2025-12-01 01:24:46 PM
125,Dominic Lovett,DET,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.1,0.0,0.0,100.0,2025-12-01 01:24:46 PM
126,Dont'e Thornton,LVR,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.93,11.34,0.04,0.04,100.0,2025-12-01 01:24:46 PM
127,Dontayvion Wicks,GB,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.5,38.7,0.23,0.23,82.0,2025-12-01 01:24:46 PM
128,Drake Maye,NWE,NYG,QB,28.9,20.0,243.68,1.89,0.55,5.94,28.13,0.18,0.0,0.0,0.0,0.0,0.18,130.0,2025-12-01 01:24:46 PM
129,Drew Sample,CIN,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,3.1,0.03,0.03,100.0,2025-12-01 01:24:46 PM
130,Durham Smythe,CHI,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,2.3,0.01,0.01,100.0,2025-12-01 01:24:46 PM
131,Dyami Brown,JAX,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.3,1.5,0.01,0.0,0.0,0.0,0.0,0.01,100.0,2025-12-01 01:24:46 PM
132,Dylan Drummond,ATL,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.6,14.5,0.07,0.07,100.0,2025-12-01 01:24:46 PM
133,Dylan Laube,LVR,LAC,RB,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.2,0.1,0.8,0.0,0.0,100.0,2025-12-01 01:24:46 PM
134,Dylan Sampson,CLE,SF,RB,0.0,0.0,0.0,0.0,0.0,3.2,9.7,0.03,2.2,1.8,12.6,0.05,0.08,100.0,2025-12-01 01:24:46 PM
135,Elic Ayomanor,TEN,JAX,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.0,38.1,0.28,0.28,80.0,2025-12-01 01:24:46 PM
136,Elijah Arroyo,SEA,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.33,14.62,0.13,0.13,100.0,2025-12-01 01:24:46 PM
137,Elijah Higgins,ARZ,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.1,11.7,0.04,0.04,100.0,2025-12-01 01:24:46 PM
138,Emanuel Wilson,GB,DET,RB,0.0,0.0,0.0,0.0,0.0,6.5,25.6,0.13,1.8,1.5,9.9,0.03,0.16,100.0,2025-12-01 01:24:46 PM
