"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"TEN DST","DST","TEN","PHI","5.5","5.5","6.2","5.5","5.5","5.5","12.3","12.3","Main"
"Darren Waller","TE","CAR","@ATL","5.4","4.4","6.3","3.3","4.3","5.3","12.3","10.5","Main"
"Chris Rodriguez","RB","JAX","@DEN","5.4","5.0","5.4","4.6","5.0","5.3","11.9","11.3","Main"
"JAX DST","DST","JAX","@DEN","5.4","5.4","6.1","5.4","5.4","5.4","12.4","12.4","Main"
"Jahan Dotson","WR","ATL","CAR","5.3","4.3","5.2","3.3","4.3","5.2","12.2","10.5","Main"
"Samaje Perine","RB","CIN","@HOU","5.3","4.6","5.3","4.0","4.6","5.3","11.5","10.4","Main"
"CLE DST","DST","CLE","@TB","5.3","5.3","5.9","5.3","5.3","5.3","12.3","12.3","Main"
"LaJohntay Wester","WR","BAL","NO","5.2","4.3","5.2","3.4","4.3","5.2","12.3","10.6","Main"
"BUF DST","DST","BUF","DET","5.2","5.2","5.9","5.2","5.2","5.2","12.2","12.2","Thursday"
"NYJ DST","DST","NYJ","GB","5.2","5.2","5.9","5.2","5.2","5.2","11.9","11.9","Main"
"Devontez Walker","WR","BAL","NO","5.1","4.3","5.0","3.5","4.3","5.0","12.4","10.9","Main"
"Chris Bell","WR","MIA","@SF","5.0","4.1","4.9","3.1","4.0","4.9","11.6","9.9","Main"
"Xavier Smith","WR","LA","NYG","4.9","4.1","4.8","3.2","4.0","4.8","11.9","10.4","Monday"
"IND DST","DST","IND","@KC","4.9","4.9","5.6","4.9","4.9","4.9","11.7","11.7","Sunday"
"MIN DST","DST","MIN","@CHI","4.9","4.9","5.5","4.9","4.9","4.9","11.7","11.7","Main"
"Darnell Mooney","WR","NYG","@LA","4.8","4.0","4.8","3.1","3.9","4.8","11.6","10.0","Monday"
"Xavier Legette","WR","CAR","@ATL","4.7","3.9","4.7","3.0","3.8","4.7","11.5","9.9","Main"
"Isaac TeSlaa","WR","DET","@BUF","4.7","3.9","4.7","3.1","3.9","4.7","11.6","10.1","Thursday"
