,Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
211,CIN DST,DST,CIN,@PIT,6.9,6.9,7.8,6.9,6.9,6.9,14.1,14.1,Main
212,MarShawn Lloyd,RB,GB,ATL,6.7,6.1,6.7,5.6,6.1,6.6,14.1,13.3,Thursday
213,HOU DST,DST,HOU,@IND,6.7,6.7,7.4,6.7,6.7,6.7,13.9,13.9,Main
214,LV DST,DST,LV,@NO,6.7,6.7,7.4,6.7,6.7,6.7,14.1,14.1,Main
215,Mike Gesicki,TE,CIN,@PIT,6.6,5.3,7.9,4.0,5.3,6.6,14.3,12.0,Main
216,Pat Bryant,WR,DEN,LA,6.6,5.4,6.6,4.0,5.3,6.6,14.4,12.2,Sunday
217,Emanuel Wilson,RB,SEA,@WAS,6.6,6.3,6.5,6.0,6.2,6.5,14.2,13.8,Main
218,Gunnar Helm,TE,TEN,@NYG,6.6,5.1,8.1,3.6,5.1,6.6,13.7,11.1,Main
219,CLE DST,DST,CLE,CAR,6.6,6.6,7.4,6.6,6.6,6.6,14.0,14.0,Main
220,TB DST,DST,TB,MIN,6.5,6.5,7.3,6.5,6.5,6.5,13.8,13.8,Main
221,Kendrick Bourne,WR,ARI,@SF,6.4,5.0,6.3,3.6,4.9,6.3,13.4,11.0,Main
222,Darren Waller,TE,CAR,@CLE,6.4,5.2,7.6,3.9,5.1,6.4,13.5,11.5,Main
223,Jalen Nailor,WR,LV,@NO,6.4,5.3,6.3,4.1,5.2,6.3,14.3,12.3,Main
224,PIT DST,DST,PIT,CIN,6.4,6.4,7.1,6.4,6.4,6.4,13.6,13.6,Main
225,Colby Parkinson,TE,LA,@DEN,6.3,5.0,7.6,3.7,5.0,6.3,13.4,11.2,Sunday
226,AJ Barner,TE,SEA,@WAS,6.3,5.1,7.5,4.0,5.1,6.3,13.8,11.8,Main
227,LaJohntay Wester,WR,BAL,DAL,6.2,5.1,6.2,3.9,5.0,6.2,14.0,12.0,Main
228,Malachi Fields,WR,NYG,TEN,6.2,5.3,6.2,4.2,5.2,6.1,14.6,12.8,Main
229,Greg Dulcich,TE,MIA,KC,6.1,4.8,7.4,3.5,4.8,6.1,13.0,10.7,Main
230,Kaelon Black,RB,SF,ARI,6.1,5.7,6.0,5.4,5.6,5.9,13.2,12.7,Main
231,IND DST,DST,IND,HOU,6.1,6.1,6.9,6.1,6.1,6.1,13.1,13.1,Main
232,LA DST,DST,LA,@DEN,6.1,6.1,6.9,6.1,6.1,6.1,13.2,13.2,Sunday
233,Evan Engram,TE,DEN,LA,6.0,4.6,7.4,3.3,4.6,6.0,12.7,10.4,Sunday
234,Michael Mayer,TE,LV,@NO,6.0,4.7,7.3,3.3,4.7,6.0,12.7,10.4,Main
235,Ted Hurst,WR,TB,MIN,5.9,4.9,5.8,3.8,4.8,5.8,13.4,11.7,Main
236,Jahan Dotson,WR,ATL,@GB,5.8,4.7,5.7,3.6,4.7,5.7,13.1,11.2,Thursday
237,CHI DST,DST,CHI,PHI,5.8,5.8,6.6,5.8,5.8,5.8,12.8,12.8,Monday
238,DEN DST,DST,DEN,LA,5.7,5.7,6.5,5.7,5.7,5.7,12.9,12.9,Sunday
239,NE DST,DST,NE,@JAX,5.7,5.7,6.4,5.7,5.7,5.7,12.9,12.9,Main
240,Jerry Jeudy,WR,CLE,CAR,5.6,4.6,5.6,3.5,4.5,5.6,13.5,11.6,Main
241,Chris Bell,WR,MIA,KC,5.6,4.6,5.5,3.5,4.5,5.5,12.6,10.8,Main
242,Cooper Kupp,WR,SEA,@WAS,5.6,4.6,5.5,3.5,4.5,5.5,12.8,11.0,Main
243,BAL DST,DST,BAL,DAL,5.6,5.6,6.2,5.6,5.6,5.6,12.8,12.8,Main
