,Player,Pos,Team,Opp,Game,Pass Att,Pass Yards,Int,Pass TD,Rush Att,Rush Yds,Rec,Rec Yds,Rush Rec TD,FPts,System
309,Emeka Egbuka,WR,TB,MIN,TB@MIN,0.0,0.0,0.0,0.0,0.0,0.0,4.25,47.99,0.34,11.088999999999999,Sportsbooks
310,Kyler Murray,QB,MIN,TB,MIN@TB,28.35,208.44,0.64,1.36,0.0,21.34,0.0,0.0,0.31,17.1316,Sportsbooks
322,Dak Prescott,QB,DAL,BAL,BAL@DAL,37.28,265.73,0.7,1.88,3.5,13.53,0.0,0.0,0.18,19.882200000000005,Sportsbooks
323,Lamar Jackson,QB,BAL,DAL,BAL@DAL,29.32,238.95,0.48,1.88,6.5,37.4,0.0,0.0,0.43,22.918,Sportsbooks
324,Javonte Williams,RB,DAL,BAL,BAL@DAL,0.0,0.0,0.0,0.0,14.5,59.41,3.2,16.96,0.96,16.597,Sportsbooks
325,Derrick Henry,RB,BAL,DAL,BAL@DAL,0.0,0.0,0.0,0.0,18.5,89.2,0.0,0.0,1.13,15.7,Sportsbooks
326,CeeDee Lamb,WR,DAL,BAL,BAL@DAL,0.0,0.0,0.0,0.0,0.0,0.0,7.15,85.46,0.6,19.296,Sportsbooks
327,George Pickens,WR,DAL,BAL,BAL@DAL,0.0,0.0,0.0,0.0,0.0,0.0,5.21,58.61,0.48,13.951,Sportsbooks
328,Jake Ferguson,TE,DAL,BAL,BAL@DAL,0.0,0.0,0.0,0.0,0.0,0.0,3.74,27.92,0.31,8.392,Sportsbooks
329,Zay Flowers,WR,BAL,DAL,BAL@DAL,0.0,0.0,0.0,0.0,0.0,0.0,5.3,73.48,0.61,16.308,Sportsbooks
355,Tyler Shough,QB,NOR,LVR,LVR@NOR,32.51,250.33,0.69,1.58,0.0,0.0,0.0,0.0,0.34,17.683200000000003,Sportsbooks
362,Kirk Cousins,QB,LVR,NOR,LVR@NOR,31.67,213.13,0.72,1.36,0.0,0.0,0.0,0.0,0.07,13.665199999999999,Sportsbooks
381,Jaylen Waddle,WR,DEN,LAR,LAR@DEN,0.0,0.0,0.0,0.0,0.0,0.0,5.05,57.98,0.42,13.367999999999999,Sportsbooks
385,Bo Nix,QB,DEN,LAR,LAR@DEN,33.55,212.56,0.75,1.44,4.5,17.06,0.0,0.0,0.25,16.7184,Sportsbooks
390,Matthew Stafford,QB,LAR,DEN,LAR@DEN,34.26,242.26,0.65,1.75,0.0,0.0,0.0,0.0,0.05,16.340400000000002,Sportsbooks
395,Kyren Williams,RB,LAR,DEN,LAR@DEN,0.0,0.0,0.0,0.0,13.5,55.92,0.0,0.0,0.85,10.692,Sportsbooks
400,Blake Corum,RB,LAR,DEN,LAR@DEN,0.0,0.0,0.0,0.0,11.5,46.13,0.0,0.0,0.32,6.533,Sportsbooks
407,Jalen Hurts,QB,PHI,CHI,PHI@CHI,28.82,214.42,0.57,1.4,6.5,25.01,0.0,0.0,0.5,19.107799999999997,Sportsbooks
411,DeVonta Smith,WR,CAR,CLE,CAR@CLE,0.0,0.0,0.0,0.0,0.0,0.0,5.75,72.0,0.52,16.07,Sportsbooks
412,Saquon Barkley,RB,PHI,CHI,PHI@CHI,0.0,0.0,0.0,0.0,18.5,75.2,0.0,13.84,0.76,13.464,Sportsbooks
427,Dontayvion Wicks,WR,PHI,CHI,PHI@CHI,0.0,0.0,0.0,0.0,0.0,0.0,3.13,40.56,0.34,9.225999999999999,Sportsbooks
