,Name,Salary,Pos,RW_Proj,ETRProj,Ceiling,Value,Value_adj,BaseMix,CeilAdj,PosBump,NewProj,ID,Name + ID,TeamAbbrev,Position,Game Info,Unnamed: 0,Team,OPP,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,DK_Base,Prob_DD,Prob_TD,DK_Bonus,ETR MP,Own,CeilZ,LastUpdate
20,Alexandre Sarr,6800.0,C,33.8337433098224,31.2,39.2,-2.0,-2.22,31.46337433098224,-0.46712179187350766,0.028249264029114356,31.02,40600068.0,Alexandre Sarr (40600068),WAS,C,WAS@OKC 10/30/2025 08:00PM ET,108.0,WAS,OKC,28.0,13.50506,9.4202,2.30739,0.75435,1.60202,1.55248,4.95147,11.40587,43.4,1.36943,4.14111,33.1,2.2327,3.23961,68.9,3.00917,6.41103,33.36261,0.3109345689901899,0.0015771521123735693,0.47113330982240553,26.5,5.9%,-0.7785363197891795,2025-10-30 18:30:42
21,Kevin Porter Jr.,6500.0,G,6.181736613850029e-05,,,,,,0.0,,,40600070.0,Kevin Porter Jr. (40600070),MIL,PG,GSW@MIL 10/30/2025 08:00PM ET,93.0,MIL,GSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
22,Devin Vassell,6500.0,F,32.46174232233897,29.5,36.9,-2.5,-2.35,29.7961742322339,-0.6021426329715954,0.08981769192803814,29.28,40600073.0,Devin Vassell (40600073),SAS,SF,MIA@SAS 10/30/2025 08:30PM ET,122.0,SAS,MIA,33.0,17.49424,4.7997,3.33074,1.41431,0.42798,2.00053,6.29537,13.47733,46.7,2.42385,6.28776,38.5,2.47966,3.16901,78.2,0.87795,3.92175,32.38621500000001,0.04937872365742455,0.00048641228427455174,0.07552732233896049,33.0,5.0%,-1.003571054952659,2025-10-30 18:30:42
23,Andrew Wiggins,6400.0,F,33.00984379988343,31.6,39.2,0.0,0.11,31.740984379988344,-0.46712179187350766,0.10363579837850553,31.38,40600076.0,Andrew Wiggins (40600076),MIA,SF,MIA@SAS 10/30/2025 08:30PM ET,133.0,MIA,SAS,33.0,19.9127,4.73278,2.5141,1.00909,0.39372,1.58899,7.07506,15.73528,45.0,2.66482,6.7298,39.6,3.09776,3.82226,81.0,0.96933,3.76346,32.94336,0.04384911385915538,0.00023670969823084723,0.0664837998834256,32.5,19.3%,-0.7785363197891795,2025-10-30 18:30:42
24,CJ McCollum,6400.0,G,32.59170679509702,27.7,35.7,-3.9,-3.82,28.189170679509697,-0.6725882891966843,-0.04232168554234518,27.47,40600079.0,CJ McCollum (40600079),WAS,SG,WAS@OKC 10/30/2025 08:00PM ET,77.0,WAS,OKC,32.0,16.96144,5.08775,4.29464,0.83706,0.39226,2.02791,6.34193,14.53606,43.6,2.54704,6.67084,38.2,1.73053,2.4589,70.4,1.07952,4.00823,32.481292499999995,0.07106256854027232,0.0012734807622040642,0.11041429509702066,29.0,2.8%,-1.120980481994474,2025-10-30 18:30:42
25,Jonathan Kuminga,6300.0,F,29.428305105194298,30.8,38.8,-0.4,-0.41,30.662830510519427,-0.49060367728187104,0.09672674515327186,30.27,40600082.0,Jonathan Kuminga (40600082),GSW,PF,GSW@MIL 10/30/2025 08:00PM ET,73.0,GSW,MIL,30.0,16.39225,5.45475,2.1963,1.15732,0.45555,1.7598,5.88971,12.31725,47.8,0.97354,3.12275,31.2,3.63929,4.897,74.3,1.38835,4.0664,29.337747500000003,0.05985549992675081,0.00025811843472284463,0.09055760519429473,29.0,9.7%,-0.8176727954697851,2025-10-30 18:30:42
26,Collin Sexton,6100.0,G,32.83592860389222,32.4,40.2,2.0,2.13,32.44359286038922,-0.4084170783526001,-0.051726504551755224,31.98,40600085.0,Collin Sexton (40600085),CHA,SG,ORL@CHA 10/30/2025 07:00PM ET,110.0,CHA,ORL,30.0,18.80703,3.90016,4.65986,0.94551,0.22401,2.22724,6.57234,13.00064,50.6,1.70706,4.17189,40.9,3.95529,4.74792,83.3,1.3517,2.54846,32.75097,0.055173832848051725,0.000732618206714262,0.08495860389222037,30.0,22.4%,-0.6806951305876668,2025-10-30 18:30:42
27,Draymond Green,6000.0,C,26.029978410854664,29.4,37.9,-0.6,-0.49,29.062997841085462,-0.5434379194506879,0.020178045735081685,28.54,40600088.0,Draymond Green (40600088),GSW,C,GSW@MIL 10/30/2025 08:00PM ET,44.0,GSW,MIL,28.0,8.49873,6.60424,4.26689,1.17361,0.65976,2.70349,3.11074,6.76397,46.0,0.91296,2.70171,33.8,1.36429,1.99621,68.3,1.25098,5.35325,25.925839999999997,0.06653098861802402,0.0014473093092106303,0.10413841085466792,29.0,9.4%,-0.9057298657511464,2025-10-30 18:30:42
28,Davion Mitchell,5900.0,G,22.419715456721324,26.9,34.3,-2.7,-2.66,26.45197154567213,0.48292526896395577,-0.03291686653293514,26.9,40600090.0,Davion Mitchell (40600090),MIA,PG,MIA@SAS 10/30/2025 08:30PM ET,84.0,MIA,SAS,30.0,10.21815,2.63158,4.41964,1.03693,0.1455,1.60166,3.69111,8.1718,45.2,1.3765,3.6614,37.6,1.45943,1.95858,74.5,0.38309,2.24849,22.389364999999998,0.02000650691251926,0.00011356545084855341,0.030350456721324547,31.0,5.9%,0.8048754482732596,2025-10-30 18:30:42
29,Kyle Kuzma,5900.0,F,19.3106808005043,16.8,23.9,-12.8,-12.8,17.05106808005043,-0.9231281457127367,-0.006909053225233711,16.12,40600093.0,Kyle Kuzma (40600093),MIL,SF/PF,GSW@MIL 10/30/2025 08:00PM ET,74.0,MIL,GSW,20.0,9.92876,4.05167,1.9412,0.43225,0.34863,1.43506,3.71971,7.88574,47.2,1.08152,3.28642,32.9,1.40782,1.80655,77.9,0.55142,3.50025,19.2901375,0.013610735788495894,4.2398940519121354e-05,0.020543300504301205,20.0,0.0%,-1.5385469095212279,2025-10-30 18:30:42
