Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Lawrence Cager (41229402),Lawrence Cager,41229402,CPT,300,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Tyler Ott (41229403),Tyler Ott,41229403,CPT,300,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Tyree Jackson (41229404),Tyree Jackson,41229404,CPT,300,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Cameron Latu (41229405),Cameron Latu,41229405,CPT,300,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
RB,Austin Ekeler (41229336),Austin Ekeler,41229336,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,6.55
RB,Donovan Edwards (41229337),Donovan Edwards,41229337,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
RB,Ben VanSumeren (41229338),Ben VanSumeren,41229338,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
RB,Chase Edmonds (41229339),Chase Edmonds,41229339,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
WR,Johnny Wilson (41229340),Johnny Wilson,41229340,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
WR,Jacoby Jones (41229341),Jacoby Jones,41229341,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.5
WR,Quez Watkins (41229342),Quez Watkins,41229342,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
WR,Terrace Marshall (41229343),Terrace Marshall,41229343,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
WR,Danny Gray (41229344),Danny Gray,41229344,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
WR,Britain Covey (41229345),Britain Covey,41229345,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
TE,Zach Ertz (41229346),Zach Ertz,41229346,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,9.95
TE,Kylen Granson (41229347),Kylen Granson,41229347,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0.29
TE,E.J. Jenkins (41229348),E.J. Jenkins,41229348,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
TE,Lawrence Cager (41229349),Lawrence Cager,41229349,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Tyler Ott (41229350),Tyler Ott,41229350,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Tyree Jackson (41229351),Tyree Jackson,41229351,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
TE,Cameron Latu (41229352),Cameron Latu,41229352,FLEX,200,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
