,Player,DK ID,Pos,Team,Opp,Proj,Sal,Own,Floor,Ceiling,JA Proj,wProj1,Avg Proj,Avg Ceiling,Proj OA,Ceiling OA,wProj_ceil
0,Jonathan Taylor,40235746,RB,IND,LV,23.7,8000,23.7,10.5,37.9,21.11,23.05,14.98,26.52,1.58,1.11,25.53
5,De'Von Achane,40235752,RB,MIA,CAR,22.0,7300,33.4,10.3,36.4,20.85,21.71,14.98,26.52,1.47,1.09,23.72
3,Jahmyr Gibbs,40235748,RB,DET,CIN,21.2,7700,18.4,9.1,36.2,19.95,20.89,14.98,26.52,1.42,1.09,22.77
8,Jayden Daniels,40235680,QB,WAS,LAC,20.4,7000,7.6,10.8,31.1,20.55,20.44,17.3,27.3,1.18,1.03,21.15
6,Jaxon Smith-Njigba,40235982,WR,SEA,TB,20.4,7100,24.6,8.1,35.1,18.0,19.8,12.11,23.11,1.69,1.13,22.37
39,Justin Fields,40235689,QB,NYJ,DAL,20.3,5600,15.0,10.6,31.8,21.89,20.7,17.3,27.3,1.17,1.04,21.53
22,Justin Herbert,40235684,QB,LAC,WAS,20.3,6100,11.7,10.9,31.3,19.6,20.12,17.3,27.3,1.17,1.04,20.88
11,Jalen Hurts,40235681,QB,PHI,DEN,20.1,6800,6.0,10.5,31.2,20.23,20.13,17.3,27.3,1.16,1.03,20.84
28,Kyler Murray,40235686,QB,ARI,TEN,20.0,5900,8.9,10.8,31.1,20.09,20.02,17.3,27.3,1.16,1.03,20.72
4,Saquon Barkley,40235750,RB,PHI,DEN,19.5,7500,12.7,8.3,32.5,18.12,19.16,14.98,26.52,1.3,1.06,20.26
