,Player,Week,FPts,xFP,Diff
1542,James Cook,3,23.8,17.22,6.58
1782,Jonathan Taylor,6,26.7,20.14,6.56
3457,Zach Ertz,6,16.3,9.74,6.56
1875,Josh Oliver,5,11.5,4.96,6.54
1372,Ja'Marr Chase,9,20.1,13.57,6.53
2488,Mitchell Tinsley,2,8.3,1.77,6.53
1873,Josh Oliver,3,8.2,1.67,6.53
2751,Rhamondre Stevenson,5,15.7,9.19,6.51
1301,Isaac TeSlaa,1,8.3,1.81,6.49
575,Christian Kirk,12,16.4,9.91,6.49
1456,Jake Ferguson,4,17.0,10.52,6.48
2061,Kendrick Bourne,6,22.2,15.73,6.47
733,Dallas Goedert,3,10.3,3.85,6.45
2609,Parker Washington,12,18.1,11.66,6.44
2409,Matthew Stafford,12,22.92,16.5,6.42
658,Cooper Kupp,10,9.4,3.0,6.4
656,Cooper Kupp,6,12.0,5.63,6.37
1205,George Pickens,5,13.7,7.33,6.37
1350,J.K. Dobbins,3,15.3,8.94,6.36
1304,Isaac TeSlaa,5,8.2,1.84,6.36
2231,Luke Farrell,10,9.5,3.17,6.33
1654,Jaylen Waddle,10,19.4,13.12,6.28
1253,Harold Fannin,8,18.4,12.12,6.28
429,Calvin Austin,1,17.0,10.73,6.27
498,Charlie Kolar,8,8.0,1.74,6.26
2821,Ryan Flournoy,5,21.4,15.14,6.26
620,Colby Parkinson,11,9.4,3.16,6.24
1278,Hunter Long,4,11.3,5.08,6.22
2914,Stefon Diggs,4,19.1,12.88,6.22
3201,Tua Tagovailoa,5,22.74,16.53,6.21
1543,James Cook,4,25.5,19.31,6.19
936,Deebo Samuel,1,22.6,16.42,6.18
3294,Tyler Johnson,8,15.4,9.23,6.17
646,Connor Heyward,6,8.2,2.04,6.16
3418,Xavier Legette,7,24.2,18.05,6.15
726,Dak Prescott,6,22.34,16.2,6.14
2460,Michael Wilson,11,36.5,30.36,6.14
1561,Jameson Williams,9,16.6,10.46,6.14
1031,Drake London,11,21.9,15.77,6.13
350,Brian Thomas,6,23.0,16.87,6.13
1194,George Kittle,1,12.5,6.38,6.12
185,Ashton Jeanty,12,24.8,18.71,6.09
3092,Travis Etienne,12,20.6,14.54,6.06
862,Davis Allen,2,7.8,1.75,6.05
272,Bo Nix,2,21.24,15.21,6.03
624,Cole Kmet,3,8.0,1.99,6.01
1489,Jalen Hurts,1,24.28,18.28,6.0
1271,Hunter Henry,8,7.7,1.7,6.0
193,Austin Hooper,7,9.1,3.11,5.99
619,Colby Parkinson,10,14.1,8.11,5.99
2315,Malik Washington,8,13.6,7.61,5.99
3076,Tory Horton,3,12.2,6.22,5.98
3453,Zach Ertz,2,18.4,12.42,5.98
745,Dalton Kincaid,4,9.8,3.83,5.97
366,Brock Purdy,11,19.3,13.35,5.95
3101,Travis Kelce,1,12.7,6.75,5.95
92,Alec Pierce,10,18.4,12.45,5.95
2446,Michael Pittman Jr.,7,20.8,14.86,5.94
26,Aaron Jones,1,15.7,9.83,5.87
2360,Marvin Harrison Jr.,9,22.6,16.74,5.86
2627,Pat Freiermuth,12,10.9,5.05,5.85
2189,Kyren Williams,10,22.4,16.55,5.85
1276,Hunter Long,1,7.6,1.76,5.84
1757,John FitzPatrick,3,9.2,3.36,5.84
1592,Javonte Williams,1,20.4,14.56,5.84
921,DeVonta Smith,3,20.0,14.17,5.83
1285,Hunter Luepke,6,8.7,2.9,5.8
2631,Patrick Mahomes,4,27.3,21.51,5.79
3239,Tyjae Spears,8,17.2,11.41,5.79
1701,Jeremy Ruckert,2,7.5,1.73,5.77
2824,Ryan Flournoy,9,9.2,3.43,5.77
1130,Emari Demercado,5,7.1,1.33,5.77
