,Player,Week,FPts,xFP,Diff
3298,Tyler Lockett,3,7.7,6.64,1.06
2612,Pat Bryant,6,4.2,3.14,1.06
1595,Javonte Williams,4,19.0,17.94,1.06
248,Bijan Robinson,7,21.2,20.14,1.06
917,DeMario Douglas,11,6.1,5.05,1.05
876,Dawson Knox,1,4.0,2.95,1.05
3122,Tre Harris,11,2.2,1.17,1.03
1299,Ian Thomas,11,3.0,1.97,1.03
320,Brenden Bates,5,4.3,3.27,1.03
652,Cooper Kupp,2,16.0,14.97,1.03
961,Derrick Henry,3,12.7,11.68,1.02
2376,Mason Taylor,1,3.0,1.99,1.01
1463,Jake Ferguson,12,11.1,10.09,1.01
2888,Sean Tucker,8,10.2,9.19,1.01
2153,Kyle Pitts,1,12.9,11.89,1.01
865,Davis Allen,5,4.4,3.4,1.0
3132,Tre Tucker,11,14.7,13.7,1.0
2608,Parker Washington,11,4.0,3.0,1.0
2710,Rasheen Ali,11,2.5,1.51,0.99
2699,Raheem Mostert,9,2.4,1.41,0.99
1413,Jacoby Brissett,12,21.68,20.69,0.99
1575,Jared Goff,12,18.16,17.18,0.98
3376,Wan'Dale Robinson,8,7.8,6.82,0.98
1688,Jaylin Noel,11,2.2,1.23,0.97
2449,Michael Pittman Jr.,10,3.9,2.93,0.97
1111,Elijah Moore,3,6.1,5.13,0.97
2720,Rashid Shaheed,10,3.3,2.33,0.97
82,Alec Ingold,6,3.5,2.55,0.95
1687,Jaylin Noel,10,7.5,6.56,0.94
163,Arian Smith,5,2.4,1.46,0.94
1240,Gunnar Heim,9,2.5,1.56,0.94
2065,Kendrick Bourne,10,2.9,1.97,0.93
2901,Skyy Moore,10,2.8,1.87,0.93
444,Calvin Ridley,11,2.3,1.38,0.92
2326,Marcus Mariota,11,16.42,15.51,0.91
2287,Mack Hollins,11,10.4,9.49,0.91
524,Chig Okonkwo,8,9.3,8.39,0.91
783,Dante Pettis,12,2.4,1.49,0.91
1054,Dyami Brown,1,8.8,7.9,0.9
3486,Zay Flowers,12,11.9,11.0,0.9
1882,Josh Reynolds,6,5.5,4.6,0.9
948,Demarcus Robinson,6,6.4,5.5,0.9
3383,Will Dissly,6,3.8,2.9,0.9
49,Adam Prentice,10,2.3,1.4,0.9
2430,Michael Mayer,12,2.4,1.5,0.9
1380,Ja'Tavion Sanders,10,8.2,7.31,0.89
2991,Tee Higgins,11,15.3,14.42,0.88
2657,Quentin Johnston,7,11.0,10.12,0.88
720,DK Metcalf,12,14.4,13.52,0.88
1512,Jalen Nailor,11,2.6,1.72,0.88
3428,Xavier Smith,10,2.4,1.52,0.88
1228,Greg Dortch,12,16.8,15.93,0.87
1446,Jake Bobo,4,2.7,1.83,0.87
1994,Kalif Raymond,2,3.3,2.43,0.87
62,Adam Trautman,4,5.2,4.34,0.86
657,Cooper Kupp,7,3.2,2.35,0.85
228,Ben Skowronek,8,2.3,1.45,0.85
2592,Oronde Gadsden,5,2.4,1.55,0.85
803,Darnell Mooney,4,2.5,1.66,0.84
1318,Isaiah Davis,1,1.8,0.96,0.84
845,David Moore,4,1.2,0.36,0.84
3118,Tre Harris,7,4.3,3.46,0.84
1120,Emanuel Wilson,4,11.1,10.26,0.84
2246,Luke Musgrave,10,5.3,4.47,0.83
2782,Roman Wilson,7,3.7,2.87,0.83
3067,Tony Pollard,4,10.6,9.77,0.83
2916,Stefon Diggs,6,5.8,4.97,0.83
1400,Jackson Hawes,4,2.5,1.67,0.83
881,Dawson Knox,8,2.5,1.67,0.83
2091,Keon Coleman,2,5.6,4.77,0.83
3467,Zaire Mitchell,10,2.4,1.57,0.83
2970,Tay Martin,4,2.4,1.57,0.83
2013,Kareem Hunt,9,12.5,11.67,0.83
741,Dallas Goedert,12,4.0,3.18,0.82
2128,Konata Mumpfield,12,4.5,3.68,0.82
254,Blake Corum,1,2.6,1.79,0.81
1552,James Mitchell,5,2.1,1.29,0.81
627,Cole Kmet,7,2.6,1.79,0.81
1914,Julian Hill,11,2.4,1.59,0.81
1790,Jonnu Smith,3,5.3,4.49,0.81
2450,Michael Pittman Jr.,12,13.7,12.89,0.81
924,DeVonta Smith,6,8.9,8.1,0.8
1789,Jonnu Smith,2,6.7,5.9,0.8
903,DeAndre Hopkins,8,2.4,1.6,0.8
1830,Jordan Watkins,9,2.9,2.1,0.8
67,Adonai Mitchell,1,4.1,3.3,0.8
2799,Romeo Doubs,1,8.8,8.01,0.79
2621,Pat Freiermuth,6,2.1,1.31,0.79
794,Darius Slayton,3,7.0,6.21,0.79
1469,Jake Tonges,6,11.8,11.02,0.78
2959,Tanner Conner,5,3.6,2.82,0.78
3042,Tim Jones,9,2.5,1.72,0.78
2475,Miles Sanders,4,4.5,3.72,0.78
511,Chase Brown,6,8.9,8.13,0.77
2769,Rico Dowdle,8,5.4,4.63,0.77
615,Colby Parkinson,4,3.7,2.93,0.77
795,Darius Slayton,4,7.4,6.64,0.76
2097,Keon Coleman,9,3.7,2.95,0.75
1064,Dylan Laube,2,3.7,2.95,0.75
1018,Dontayvion Wicks,6,3.5,2.75,0.75
1551,James Mitchell,4,3.7,2.96,0.74
2781,Roman Wilson,6,2.2,1.46,0.74
527,Chig Okonkwo,12,7.0,6.26,0.74
3120,Tre Harris,9,3.8,3.06,0.74
1408,Jacoby Brissett,6,24.7,23.96,0.74
3224,Tutu Atwell,5,9.2,8.46,0.74
2183,Kyren Williams,3,19.2,18.47,0.73
2461,Michael Wilson,12,24.8,24.08,0.72
2292,Malachi Corley,10,3.2,2.48,0.72
2289,Malachi Corley,5,1.1,0.38,0.72
505,Charlie Woerner,12,5.4,4.69,0.71
416,Cade Stover,1,6.2,5.49,0.71
1214,Grant Calcaterra,5,3.8,3.1,0.7
1912,Julian Hill,6,6.1,5.4,0.7
1736,Jimmy Horn,12,2.1,1.41,0.69
2541,Nikko Remigio,3,1.1,0.41,0.69
3084,Travis Etienne,3,11.6,10.92,0.68
2439,Michael Penix Jr.,11,7.9,7.22,0.68
2390,Matthew Golden,1,3.6,2.92,0.68
1137,Emeka Egbuka,3,14.5,13.82,0.68
1823,Jordan Mason,7,11.7,11.03,0.67
2239,Luke McCaffrey,8,5.4,4.73,0.67
815,Darnell Washington,10,2.5,1.83,0.67
2152,Kyle Monangai,12,10.8,10.14,0.66
1603,Jaxon Smith-Njigba,1,23.4,22.74,0.66
3184,Treylon Burks,9,2.4,1.74,0.66
1751,John Bates,5,1.9,1.24,0.66
1844,Josh Allen,5,21.42,20.77,0.65
2472,Miles Sanders,1,5.0,4.35,0.65
1633,Jayden Higgins,5,7.2,6.55,0.65
117,Ameer Abdullah,7,3.7,3.05,0.65
3051,Tip Reiman,1,2.0,1.35,0.65
504,Charlie Woerner,10,2.4,1.75,0.65
2740,Ray-Ray McCloud,1,8.1,7.45,0.65
1284,Hunter Luepke,5,2.0,1.36,0.64
3328,Tyquan Thornton,7,4.9,4.27,0.63
1761,John FitzPatrick,12,2.1,1.47,0.63
371,Brock Wright,9,2.1,1.47,0.63
167,Arian Smith,10,1.3,0.67,0.63
990,Devin Singletary,8,3.8,3.17,0.63
2830,Ryan Miller,7,2.4,1.77,0.63
2644,Puka Nacua,3,25.8,25.17,0.63
3399,Woody Marks,10,16.1,15.48,0.62
63,Adam Trautman,5,2.1,1.48,0.62
786,Dare Ogunbowale,8,2.7,2.08,0.62
116,Ameer Abdullah,6,2.6,1.98,0.62
2731,Rashod Bateman,10,4.0,3.38,0.62
2298,Malik Davis,12,2.4,1.78,0.62
2081,Kenneth Walker,5,9.6,8.98,0.62
449,Cam Skattebo,2,13.9,13.29,0.61
2956,Tank Bigsby,12,0.8,0.19,0.61
200,Austin Trammell,11,2.3,1.69,0.61
672,Courtland Sutton,8,10.7,10.09,0.61
3437,Xavier Worthy,7,7.8,7.19,0.61
1985,KaVontae Turpin,12,5.2,4.6,0.6
3368,Van Jefferson,12,2.1,1.5,0.6
765,Daniel Bellinger,4,2.3,1.7,0.6
23,AJ Dillon,4,1.7,1.1,0.6
3210,Tucker Fisk,9,2.2,1.61,0.59
1235,Gunnar Heim,4,2.2,1.61,0.59
1151,Evan Engram,6,9.9,9.31,0.59
1507,Jalen Nailor,5,7.2,6.61,0.59
3304,Tyler Lockett,10,9.4,8.81,0.59
2025,Kayshon Boutte,12,3.5,2.92,0.58
2290,Malachi Corley,7,3.7,3.13,0.57
2302,Malik Heath,9,2.1,1.53,0.57
1533,Jamari Thrash,8,5.1,4.53,0.57
1385,Jack Bech,3,2.0,1.44,0.56
169,Ashton Dulin,1,1.5,0.94,0.56
307,Braxton Berrios,8,8.8,8.25,0.55
892,De'Von Achane,7,12.8,12.25,0.55
336,Brian Robinson,3,2.2,1.65,0.55
51,Adam Thielen,1,2.0,1.45,0.55
1298,Ian Thomas,9,1.9,1.35,0.55
3302,Tyler Lockett,7,3.8,3.25,0.55
749,Dalton Kincaid,10,5.7,5.16,0.54
1289,Hunter Luepke,12,1.7,1.16,0.54
3113,Tre Harris,1,2.1,1.56,0.54
2039,Keenan Allen,3,19.5,18.96,0.54
2180,Kyler Murray,5,16.3,15.76,0.54
2213,LeQuint Allen,3,1.9,1.37,0.53
1663,Jaylen Warren,10,11.1,10.57,0.53
3161,Trevor Lawrence,6,19.22,18.69,0.53
1378,Ja'Tavion Sanders,8,4.9,4.38,0.52
2164,Kyle Williams,1,2.2,1.68,0.52
3273,Tyler Conklin,10,2.2,1.68,0.52
3461,Zach Ertz,10,9.4,8.88,0.52
2656,Quentin Johnston,5,7.9,7.39,0.51
2280,Mack Hollins,3,6.7,6.2,0.5
1933,Justin Fields,5,25.92,25.42,0.5
1576,Jared Wayne,8,4.0,3.5,0.5
146,Andrew Beck,12,2.0,1.5,0.5
2509,Nathan Carter,8,1.4,0.9,0.5
562,Chris Rodriguez,4,5.9,5.41,0.49
214,Bam Knight,6,12.4,11.91,0.49
789,Dareke Young,3,2.2,1.71,0.49
702,DJ Moore,4,7.8,7.31,0.49
3358,Tyson Bagent,9,0.8,0.31,0.49
2352,Marquise Brown,12,2.0,1.51,0.49
837,David Montgomery,5,18.22,17.73,0.49
3055,Tommy Tremble,2,5.0,4.52,0.48
1146,Eric Saubert,3,2.2,1.72,0.48
1330,Isaiah Likely,5,2.2,1.72,0.48
2372,Mason Rudolph,2,0.48,0.0,0.48
1306,Isaac TeSlaa,10,2.1,1.62,0.48
1388,Jack Bech,7,3.3,2.82,0.48
909,DeMario Douglas,2,1.8,1.32,0.48
390,Brycen Tremayne,5,1.9,1.42,0.48
1679,Jaylin Lane,11,2.3,1.82,0.48
388,Brycen Tremayne,3,3.5,3.03,0.47
181,Ashton Jeanty,7,4.4,3.93,0.47
168,Arian Smith,12,0.8,0.33,0.47
279,Bo Nix,9,19.52,19.05,0.47
1159,Foster Moreau,6,1.9,1.44,0.46
392,Brycen Tremayne,11,3.7,3.24,0.46
2552,Noah Fant,12,1.9,1.44,0.46
3475,Zavier Scott,8,4.4,3.95,0.45
2499,Mo Alie-Cox,12,1.9,1.45,0.45
2393,Matthew Golden,4,11.3,10.86,0.44
1568,Jared Goff,4,13.72,13.28,0.44
2950,Tai Felton,3,1.9,1.46,0.44
1916,Julius Chestnut,3,2.6,2.16,0.44
1136,Emeka Egbuka,2,12.9,12.46,0.44
1034,Drake Maye,3,21.22,20.78,0.44
594,Christopher Brooks,2,5.7,5.27,0.43
1405,Jacob Saylors,4,1.1,0.67,0.43
3272,Tyler Conklin,5,5.0,4.57,0.43
1296,Ian Thomas,5,5.0,4.57,0.43
2862,Saquon Barkley,4,17.4,16.97,0.43
813,Darnell Washington,7,9.2,8.77,0.43
1702,Jeremy Ruckert,4,2.2,1.78,0.42
3361,Van Jefferson,3,1.8,1.38,0.42
496,Charlie Kolar,5,2.0,1.58,0.42
2435,Michael Penix Jr.,6,14.6,14.18,0.42
331,Brevyn Spann-Ford,8,1.9,1.48,0.42
98,Allen Lazard,4,1.8,1.39,0.41
1556,Jameson Williams,3,6.3,5.89,0.41
1222,Greg Dortch,5,3.2,2.79,0.41
412,Cade Otton,8,8.0,7.59,0.41
641,Colston Loveland,11,7.0,6.59,0.41
763,Daniel Bellinger,1,2.4,1.99,0.41
3390,Will Shipley,10,5.4,5.0,0.4
72,Adonai Mitchell,7,1.8,1.4,0.4
1519,Jalen Tolbert,6,1.8,1.4,0.4
2820,Ryan Flournoy,4,4.6,4.2,0.4
2678,RJ Harvey,6,6.5,6.11,0.39
138,Andrei Iosivas,7,7.9,7.51,0.39
758,Dalton Schultz,10,18.3,17.91,0.39
954,Demarcus Robinson,12,1.8,1.41,0.39
1092,Elijah Arroyo,5,2.0,1.61,0.39
2469,Mike Gesicki,4,1.8,1.42,0.38
1219,Greg Dortch,2,2.1,1.72,0.38
3388,Will Shipley,7,1.7,1.32,0.38
919,DeVonta Smith,1,4.6,4.22,0.38
2300,Malik Heath,4,1.9,1.52,0.38
1703,Jeremy Ruckert,5,6.8,6.42,0.38
2339,Marquez Valdes-Scantling,3,1.9,1.52,0.38
3237,Tyjae Spears,6,9.0,8.62,0.38
2421,Michael Carter,12,8.8,8.43,0.37
732,Dallas Goedert,1,11.4,11.03,0.37
375,Bryce Oliver,1,1.8,1.43,0.37
66,Adam Trautman,11,1.8,1.43,0.37
1328,Isaiah Hodgins,11,10.7,10.33,0.37
1977,KaVontae Turpin,1,4.7,4.34,0.36
1216,Grant Calcaterra,12,1.8,1.44,0.36
3286,Tyler Higbee,11,3.3,2.94,0.36
2844,Sam LaPorta,3,7.3,6.94,0.36
1484,Jalen Coker,8,6.6,6.24,0.36
2400,Matthew Stafford,2,18.32,17.97,0.35
2967,Tanner Hudson,11,5.2,4.85,0.35
2165,Kyle Williams,3,1.8,1.45,0.35
120,Ameer Abdullah,10,1.8,1.45,0.35
972,Devaughn Vele,5,3.3,2.95,0.35
3363,Van Jefferson,6,11.5,11.15,0.35
2113,Khalil Shakir,12,14.7,14.35,0.35
2044,Keenan Allen,8,8.4,8.05,0.35
2913,Stefon Diggs,3,5.3,4.96,0.34
788,Dare Ogunbowale,11,1.9,1.56,0.34
3025,Tez Johnson,7,15.8,15.46,0.34
1527,Jamari Thrash,1,1.6,1.27,0.33
2379,Mason Taylor,4,11.5,11.17,0.33
2093,Keon Coleman,4,7.5,7.17,0.33
2229,Luke Farrell,7,2.1,1.77,0.33
3355,Tyrone Tracy,11,17.9,17.57,0.33
2401,Matthew Stafford,3,14.84,14.52,0.32
2952,Tank Bigsby,7,2.0,1.68,0.32
1769,Johnny Mundt,3,1.7,1.38,0.32
2479,Mitchell Evans,2,1.9,1.58,0.32
3022,Tez Johnson,4,2.3,1.98,0.32
2293,Malachi Corley,11,2.9,2.58,0.32
599,Christopher Brooks,11,0.8,0.49,0.31
74,Adonai Mitchell,9,1.7,1.39,0.31
3056,Tommy Tremble,3,3.6,3.29,0.31
432,Calvin Austin,4,3.3,2.99,0.31
188,Austin Hooper,1,2.0,1.7,0.3
2883,Scotty Miller,7,1.9,1.6,0.3
500,Charlie Kolar,10,3.3,3.0,0.3
525,Chig Okonkwo,9,3.0,2.7,0.3
1990,Kaleb Johnson,9,2.3,2.0,0.3
377,Bryce Young,2,26.32,26.02,0.3
3211,Tucker Fisk,10,1.7,1.41,0.29
359,Brock Bowers,4,9.6,9.31,0.29
393,Bucky Irving,1,14.5,14.21,0.29
2759,Ricky Pearsall,4,8.6,8.31,0.29
509,Chase Brown,4,10.1,9.81,0.29
804,Darnell Mooney,7,9.8,9.52,0.28
3129,Tre Tucker,7,8.3,8.02,0.28
2702,Raheem Mostert,12,5.0,4.72,0.28
2343,Marquise Brown,2,8.0,7.72,0.28
2142,Kyle Monangai,1,2.1,1.82,0.28
2971,Tay Martin,5,1.9,1.62,0.28
2968,Tanner Hudson,12,1.9,1.62,0.28
3102,Travis Kelce,2,10.1,9.82,0.28
1455,Jake Ferguson,3,21.2,20.92,0.28
2063,Kendrick Bourne,8,7.4,7.13,0.27
2728,Rashod Bateman,6,1.8,1.53,0.27
1102,Elijah Higgins,5,3.0,2.73,0.27
2895,Skyy Moore,3,2.0,1.73,0.27
1494,Jalen Hurts,6,21.62,21.35,0.27
3114,Tre Harris,2,5.4,5.14,0.26
2529,Nick Westbrook,10,1.7,1.44,0.26
2457,Michael Wilson,7,7.0,6.74,0.26
1344,Isiah Pacheco,5,8.6,8.34,0.26
2154,Kyle Pitts,2,7.7,7.44,0.26
1876,Josh Oliver,7,1.9,1.65,0.25
604,Chuba Hubbard,4,9.9,9.65,0.25
1681,Jaylin Noel,3,1.4,1.15,0.25
2214,LeQuint Allen,4,1.7,1.45,0.25
1392,Jack Stoll,4,1.7,1.45,0.25
54,Adam Thielen,4,3.1,2.85,0.25
1089,Elijah Arroyo,2,5.1,4.85,0.25
434,Calvin Austin,9,10.6,10.35,0.25
1727,Jerry Jeudy,10,19.8,19.56,0.24
1928,Justice Hill,9,3.5,3.26,0.24
0,A.J. Brown,1,1.8,1.56,0.24
3406,Xavier Hutchinson,3,4.6,4.36,0.24
2940,TJ Hockenson,8,4.6,4.36,0.24
2873,Savion Williams,4,5.3,5.07,0.23
1346,Isiah Pacheco,7,12.4,12.17,0.23
2383,Mason Taylor,8,14.4,14.17,0.23
1293,Hunter Renfrow,4,3.0,2.77,0.23
2136,Kyle Juszczyk,6,1.9,1.67,0.23
389,Brycen Tremayne,4,6.6,6.37,0.23
1826,Jordan Mason,10,4.1,3.87,0.23
1867,Josh Jacobs,8,13.5,13.28,0.22
1366,Ja'Marr Chase,3,9.9,9.68,0.22
644,Connor Heyward,2,1.6,1.38,0.22
145,Andrew Beck,8,1.9,1.68,0.22
2480,Mitchell Evans,3,1.9,1.68,0.22
3340,Tyrell Shavers,9,1.7,1.48,0.22
170,Ashton Dulin,4,2.8,2.58,0.22
1352,J.K. Dobbins,5,15.4,15.19,0.21
1763,John Metchie,3,1.8,1.59,0.21
931,Dee Eskridge,2,1.8,1.59,0.21
2547,Noah Fant,6,6.7,6.49,0.21
1954,Justin Jefferson,2,11.1,10.89,0.21
441,Calvin Ridley,4,5.0,4.8,0.2
370,Brock Wright,7,5.3,5.1,0.2
1088,Elijah Arroyo,1,1.7,1.5,0.2
437,Calvin Austin,12,7.6,7.4,0.2
2662,Quinshon Judkins,2,10.1,9.9,0.2
2593,Oronde Gadsden,6,12.8,12.61,0.19
633,Colston Loveland,1,3.2,3.01,0.19
2845,Sam LaPorta,4,6.9,6.71,0.19
1700,Jeremy Ruckert,1,3.6,3.42,0.18
486,Cedrick Wilson,9,1.7,1.52,0.18
737,Dallas Goedert,7,4.8,4.62,0.18
1452,Jake Browning,12,0.56,0.39,0.17
1398,Jackson Hawes,2,1.5,1.33,0.17
110,Alvin Kamara,8,6.5,6.33,0.17
3240,Tyjae Spears,9,9.2,9.03,0.17
3157,Trevor Lawrence,2,21.24,21.08,0.16
3362,Van Jefferson,4,1.6,1.44,0.16
700,DJ Moore,2,9.6,9.44,0.16
2218,LeQuint Allen,10,1.6,1.44,0.16
2816,Russell Wilson,4,0.32,0.16,0.16
1872,Josh Oliver,1,1.5,1.34,0.16
542,Chris Manhertz,3,1.7,1.54,0.16
1395,Jack Stoll,12,1.7,1.54,0.16
275,Bo Nix,5,17.88,17.72,0.16
2848,Sam LaPorta,7,4.5,4.35,0.15
3246,Tylan Wallace,8,1.6,1.45,0.15
1897,Josiah Deguara,12,1.6,1.45,0.15
80,Alec Ingold,2,3.3,3.15,0.15
2575,Ollie Gordon,2,2.3,2.15,0.15
3214,Tucker Kraft,3,5.9,5.76,0.14
2494,Mo Alie-Cox,2,1.8,1.66,0.14
3096,Travis Hunter,3,3.1,2.96,0.14
45,Adam Prentice,5,0.8,0.66,0.14
3265,Tyler Badie,8,0.6,0.46,0.14
2056,Kendre Miller,7,0.7,0.56,0.14
1485,Jalen Coker,9,1.9,1.76,0.14
1427,Jahan Dotson,2,1.4,1.26,0.14
1834,Jordan Whittington,4,1.7,1.56,0.14
1758,John FitzPatrick,7,1.6,1.47,0.13
84,Alec Ingold,10,0.6,0.47,0.13
868,Davis Allen,9,6.7,6.57,0.13
1764,John Metchie,4,3.0,2.87,0.13
1309,Isaiah Bond,1,1.5,1.37,0.13
1040,Drake Maye,9,18.36,18.24,0.12
671,Courtland Sutton,7,16.7,16.58,0.12
144,Andrew Beck,6,1.6,1.48,0.12
2244,Luke Musgrave,8,1.5,1.38,0.12
1839,Jordan Whittington,12,4.7,4.58,0.12
890,De'Von Achane,5,16.6,16.49,0.11
1532,Jamari Thrash,7,3.3,3.19,0.11
2062,Kendrick Bourne,7,3.4,3.29,0.11
1579,Jaret Patterson,10,0.1,0.0,0.1
2230,Luke Farrell,9,1.9,1.8,0.1
2052,Kendre Miller,3,5.6,5.5,0.1
2240,Luke Musgrave,1,1.4,1.31,0.09
1072,Dylan Sampson,6,4.4,4.31,0.09
1771,Johnny Mundt,5,1.7,1.61,0.09
1163,Gabe Davis,11,7.0,6.91,0.09
1252,Harold Fannin,7,7.6,7.51,0.09
764,Daniel Bellinger,3,1.6,1.52,0.08
1381,Ja'Tavion Sanders,11,6.2,6.12,0.08
436,Calvin Austin,11,1.5,1.42,0.08
1101,Elijah Higgins,3,1.7,1.62,0.08
811,Darnell Washington,4,5.0,4.93,0.07
3015,Tetairoa McMillan,8,16.9,16.83,0.07
679,Curtis Samuel,9,1.6,1.53,0.07
2811,Roschon Johnson,7,1.1,1.03,0.07
1636,Jayden Higgins,9,1.4,1.33,0.07
879,Dawson Knox,5,3.5,3.43,0.07
3040,Theo Johnson,11,6.6,6.53,0.07
186,Austin Ekeler,1,8.7,8.63,0.07
1774,Johnny Mundt,10,3.1,3.04,0.06
1991,Kaleb Johnson,10,0.3,0.24,0.06
2478,Mitch Trubisky,10,0.4,0.34,0.06
95,Alex Bachman,5,1.9,1.84,0.06
1835,Jordan Whittington,5,5.3,5.24,0.06
810,Darnell Washington,2,2.0,1.95,0.05
2960,Tanner Conner,6,1.8,1.75,0.05
3382,Will Dissly,2,1.7,1.65,0.05
46,Adam Prentice,6,0.3,0.25,0.05
3127,Tre Tucker,5,11.1,11.05,0.05
1690,Jeremy McNichols,1,2.5,2.46,0.04
2502,Najee Harris,3,2.8,2.76,0.04
3130,Tre Tucker,9,6.8,6.76,0.04
447,Cam Grandy,3,1.6,1.56,0.04
43,Adam Prentice,1,1.4,1.36,0.04
312,Breece Hall,4,16.1,16.06,0.04
352,Brian Thomas,9,8.5,8.46,0.04
223,Ben Sinnott,2,1.7,1.67,0.03
1104,Elijah Higgins,7,1.3,1.27,0.03
844,David Moore,3,1.5,1.47,0.03
1838,Jordan Whittington,11,1.9,1.88,0.02
1225,Greg Dortch,9,0.9,0.88,0.02
3220,Tutu Atwell,1,1.4,1.38,0.02
2327,Mark Andrews,1,1.5,1.48,0.02
653,Cooper Kupp,3,5.1,5.08,0.02
896,De'Von Achane,11,24.5,24.48,0.02
190,Austin Hooper,3,4.8,4.78,0.02
1098,Elijah Arroyo,12,1.5,1.49,0.01
3149,Trevor Etienne,1,0.4,0.39,0.01
2902,Spencer Anderson,8,1.4,1.39,0.01
2810,Roschon Johnson,6,0.6,0.6,0.0
3271,Tyler Conklin,4,1.3,1.3,0.0
327,Brett Rypien,3,0.0,0.0,0.0
2373,Mason Rudolph,6,0.0,0.0,0.0
2745,Reggie Gilliam,11,0.0,0.0,0.0
25,AJ Dillon,6,4.0,4.0,0.0
1871,Josh Karty,3,0.0,0.0,0.0
1109,Elijah Moore,1,2.1,2.11,-0.01
1279,Hunter Long,5,1.3,1.31,-0.01
1699,Jeremy McNichols,11,4.9,4.92,-0.02
2217,LeQuint Allen,9,2.1,2.12,-0.02
1096,Elijah Arroyo,10,1.5,1.52,-0.02
93,Alec Pierce,12,3.6,3.63,-0.03
2242,Luke Musgrave,4,1.6,1.63,-0.03
1382,Ja'Tavion Sanders,12,1.6,1.63,-0.03
1167,Gage Larvadain,8,0.3,0.33,-0.03
2048,Keleki Latu,11,1.4,1.43,-0.03
1759,John FitzPatrick,8,1.4,1.43,-0.03
3357,Tyson Bagent,2,1.78,1.81,-0.03
2947,Tahj Brooks,11,0.5,0.53,-0.03
983,Devin Singletary,1,0.9,0.93,-0.03
305,Brashard Smith,12,6.6,6.63,-0.03
875,Davis Mills,12,14.52,14.55,-0.03
1717,Jerome Ford,11,0.2,0.24,-0.04
989,Devin Singletary,7,0.2,0.24,-0.04
3126,Tre Tucker,4,4.2,4.24,-0.04
3385,Will Shipley,1,2.6,2.64,-0.04
1221,Greg Dortch,4,7.9,7.94,-0.04
704,DJ Moore,7,8.2,8.24,-0.04
606,Chuba Hubbard,8,9.4,9.45,-0.05
1156,Evan Engram,11,7.3,7.35,-0.05
3291,Tyler Johnson,3,5.2,5.25,-0.05
842,David Montgomery,11,4.7,4.75,-0.05
2894,Sione Vaki,10,0.4,0.45,-0.05
1338,Isaiah Williams,10,1.4,1.45,-0.05
2729,Rashod Bateman,8,7.1,7.15,-0.05
1997,Kalif Raymond,7,4.7,4.76,-0.06
391,Brycen Tremayne,9,1.8,1.86,-0.06
3190,Troy Franklin,5,8.5,8.56,-0.06
3413,Xavier Hutchinson,12,0.9,0.97,-0.07
353,British Brooks,5,1.5,1.57,-0.07
1909,Julian Hill,3,1.4,1.47,-0.07
1892,Joshua Palmer,4,4.5,4.57,-0.07
955,Derius Davis,1,0.3,0.38,-0.08
267,Blake Whiteheart,7,1.4,1.48,-0.08
291,Brandin Cooks,5,1.5,1.58,-0.08
752,Dalton Schultz,3,8.9,8.98,-0.08
1233,Gunnar Heim,2,2.9,2.98,-0.08
2423,Michael Mayer,2,2.9,2.98,-0.08
2174,Kylen Granson,2,1.5,1.58,-0.08
1629,Jayden Higgins,1,5.2,5.29,-0.09
1643,Jaydon Blue,7,4.4,4.49,-0.09
2370,Marvin Mims,11,0.2,0.29,-0.09
2251,Luke Schoonmaker,3,1.5,1.59,-0.09
2726,Rashod Bateman,4,3.4,3.49,-0.09
3444,Zach Charbonnet,4,12.4,12.5,-0.1
2033,Keaton Mitchell,11,7.4,7.5,-0.1
2553,Noah Gray,1,1.3,1.4,-0.1
1376,Ja'Tavion Sanders,3,3.1,3.2,-0.1
2132,Kyle Juszczyk,2,1.5,1.6,-0.1
1528,Jamari Thrash,2,1.5,1.6,-0.1
2047,Keenan Allen,11,9.3,9.41,-0.11
2779,Rodney Thomas,9,0.3,0.41,-0.11
3000,Terrell Jennings,8,1.5,1.61,-0.11
1297,Ian Thomas,6,1.4,1.51,-0.11
1321,Isaiah Davis,5,6.3,6.41,-0.11
870,Davis Allen,12,5.9,6.02,-0.12
791,Darius Cooper,12,2.7,2.82,-0.12
472,Carter Runyon,7,1.3,1.42,-0.12
405,CJ Ham,7,1.5,1.62,-0.12
1631,Jayden Higgins,3,1.5,1.62,-0.12
2034,Keaton Mitchell,12,2.9,3.02,-0.12
1891,Joshua Palmer,3,1.5,1.63,-0.13
22,AJ Dillon,2,1.9,2.03,-0.13
60,Adam Trautman,1,1.5,1.63,-0.13
883,Dawson Knox,10,6.7,6.83,-0.13
1976,Juwan Johnson,12,10.6,10.73,-0.13
2268,Luther Burden,12,9.1,9.24,-0.14
2492,Mitchell Tinsley,12,10.9,11.04,-0.14
2255,Luke Schoonmaker,8,4.5,4.64,-0.14
751,Dalton Schultz,2,5.9,6.04,-0.14
3131,Tre Tucker,10,5.5,5.64,-0.14
3417,Xavier Legette,6,3.1,3.24,-0.14
199,Austin Trammell,10,5.3,5.44,-0.14
1208,George Pickens,8,14.8,14.95,-0.15
192,Austin Hooper,6,1.5,1.65,-0.15
1286,Hunter Luepke,7,1.3,1.45,-0.15
1558,Jameson Williams,5,2.0,2.15,-0.15
540,Chris Godwin,5,5.6,5.75,-0.15
2573,Olamide Zaccheaus,12,1.6,1.76,-0.16
