,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
463,1120347,ATL,CAR,WR,Chris Blair,,0.0,,,,,,0,0,-8.75,3000,,2595531,1120347
464,1131017,GB,CLE,TE,John FitzPatrick,0.79,0.42,,,,4.5,,0,0,-6.96,2500,,3491930,1131017
465,742382,SF,ARI,WR,Marquez Valdes-Scantling,0.68,1.18,,,,5.3,,0,0,-8.67,3300,,328275,742382
466,1181892,CHI,DAL,RB,Deion Hankins,,0.0,,,,,,0,0,-10.75,4000,,8268094,1181892
467,879981,IND,TEN,QB,Daniel Jones,19.21,2.18,,,,31.0,8.9,0,0,2.66,5400,,972884,879981
468,1125737,CLE,GB,RB,Jerome Ford,5.87,0.72,,,,12.5,1.7,0,0,-6.08,4600,,3491403,1125737
469,327,CIN,MIN,DST,Bengals,6.48,3.66,,,,12.7,1.5,0,0,0.68,2400,,18420,327
470,1213726,TB,NYJ,WR,Jalen McMillan,,0.0,,,,,,0,0,-8.75,3000,,6228587,1213726
471,338,IND,TEN,DST,Colts,7.63,2.13,,,,13.7,2.3,0,0,0.03,3300,,18427,338
472,1214837,TB,NYJ,WR,Tez Johnson,0.54,0.0,,,,5.1,,0,0,-9.01,3400,,8229018,1214837
473,1223318,PHI,LAR,WR,Darius Cooper,0.12,1.15,,,,4.5,,0,0,-8.63,3000,,8281184,1223318
474,1271740,IND,TEN,TE,Drew Ogletree,0.5,0.44,,,,4.3,,0,0,-7.25,2500,,3491722,1271740
475,1182695,NO,SEA,WR,Mason Tipton,0.1,0.0,,,,4.3,,0,0,-8.65,3000,,6228352,1182695
476,1446717,DEN,LAC,TE,Patrick Murtagh,,0.0,,,,,,0,0,-7.75,2500,,-1446717,1446717
477,1290165,IND,TEN,QB,Riley Leonard,,0.0,,,,,,0,0,-13.75,4000,,8228623,1290165
478,1382752,CAR,ATL,TE,Bryce Pierre,,0.0,,,,,,0,0,-7.75,2500,,8250520,1382752
479,832098,CLE,GB,TE,David Njoku,8.3,2.59,,,,14.1,4.1,0,0,-2.65,4100,,36844,832098
480,1176733,HOU,JAX,WR,Jared Wayne,,0.0,,,,,,0,0,-8.75,3000,,4687772,1176733
481,1164402,SEA,NO,RB,Kenneth Walker III,15.3,5.2,,,,25.1,6.1,0,0,0.95,5800,,3492251,1164402
482,828743,CLE,GB,QB,Deshaun Watson,,0.0,,,,,,0,0,-13.75,4000,,36923,828743
483,1062047,CAR,ATL,RB,Chuba Hubbard,15.21,4.84,,,,24.6,6.5,0,0,0.06,6200,,2862163,1062047
484,1130555,CAR,ATL,TE,Tommy Tremble,2.45,0.38,,,,6.7,0.1,0,0,-5.3,2500,,2862165,1130555
485,606488,MIN,CIN,TE,Nick Vannett,,0.0,,,,3.7,,0,0,-7.75,2500,,35685,606488
486,1110711,JAX,HOU,QB,Trevor Lawrence,18.35,2.26,,,,27.5,10.1,0,0,1.8,5400,,2861939,1110711
487,1057725,ATL,CAR,RB,Carlos Washington Jr.,,0.0,,,,,,0,0,-10.75,4000,,4715708,1057725
488,1287636,PHI,LAR,RB,Will Shipley,,0.0,,,,,,0,0,-11.35,4300,,6228458,1287636
489,1049915,CAR,ATL,WR,David Moore,1.37,1.3,,,,6.1,,0,0,-7.38,3000,,37076,1049915
