"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"53","Davante Adams","WR","LA","8","WR19","43.3","235.0","15","15.67","4","0","0","0","0","0","-","-","-","130.8","85.7","1042.3","7.6","-","-","-","","-"
"54","Kenneth Walker III","RB","SEA","8","RB17","44.5","234.0","14","16.72","5","0","0","0","0","0","228.4","928.5","9.5","53.6","44.8","326.4","1.3","-","-","-","","-"
"55","Alvin Kamara","RB","NO","11","RB15","41.8","233.4","14","16.67","5","0","0","0","0","0","207.0","848.4","5.7","77.4","60.0","461.8","1.6","-","-","-","-","-"
"56","Mike Evans","WR","TB","9","WR17","37.5","232.9","15","15.53","5","0","0","0","0","0","-","-","-","112.9","72.1","1065.0","9.1","-","-","-","-","-"
"57","Kyren Williams","RB","LA","8","RB11","28.8","232.4","14","16.60","5","0","0","0","0","0","271.3","1184.3","10.2","33.7","28.1","165.5","1.7","-","-","-","-","-"
"58","Jaylen Waddle","WR","MIA","12","WR31","68.1","231.7","15","15.44","5","0","0","0","0","0","1.5","7.8","0.1","122.9","86.1","1079.4","6.2","-","-","-","","-"
"59","Brock Bowers","TE","LV","8","TE1","16.6","231.4","15","15.43","1","0","0","0","0","0","-","-","-","120.5","93.0","1038.5","5.8","-","-","-","-","-"
"60","Matthew Stafford","QB","LA","8","QB24","195.9","228.6","14","16.33","6","481","323","3543","22.4","9","26.7","38.1","0.8","-","-","-","-","-","-","-","-","-"
"61","DK Metcalf","WR","PIT","5","WR21","47.3","226.9","15","15.13","5","0","0","0","0","0","-","-","-","122.2","74.6","1043.0","8.1","-","-","-","","-"
"62","Jaxon Smith-Njigba","WR","SEA","8","WR13","27.0","226.4","15","15.09","5","0","0","0","0","0","4.6","24.5","0.0","120.3","80.5","1059.6","6.3","-","-","-","-","-"
"63","James Conner","RB","ARZ","8","RB19","51.6","222.9","15","14.86","6","0","0","0","0","0","215.6","1021.3","8.2","45.2","37.5","304.6","0.9","-","-","-","","-"
"64","Garrett Wilson","WR","NYJ","9","WR15","32.2","221.6","15","14.78","5","0","0","0","0","0","0.9","2.7","0.0","123.8","83.5","1039.3","5.8","-","-","-","-","-"
"65","Chuba Hubbard","RB","CAR","14","RB18","46.7","220.9","15","14.73","6","0","0","0","0","0","223.4","987.8","9.0","46.7","39.8","231.3","1.1","-","-","-","","-"
"66","James Cook","RB","BUF","7","RB14","34.0","218.5","15","14.56","6","0","0","0","0","0","216.5","1043.0","9.9","31.7","26.2","223.8","1.3","-","-","-","-","-"
"67","DJ Moore","WR","CHI","5","WR22","48.9","216.8","15","14.45","6","0","0","0","0","0","7.1","38.8","0.2","120.7","82.1","959.4","5.7","-","-","-","-","-"
"68","Omarion Hampton","RB","LAC","12","RB16","42.4","215.9","15","14.39","6","0","0","0","0","0","216.7","1027.9","9.0","37.8","30.9","231.8","1.1","-","-","-","-",""
"69","Breece Hall","RB","NYJ","9","RB13","33.4","215.2","15","14.35","6","0","0","0","0","0","228.1","995.3","5.9","49.8","39.8","334.5","1.5","-","-","-","-","-"
"70","Courtland Sutton","WR","DEN","12","WR23","50.0","214.2","15","14.28","6","0","0","0","0","0","-","-","-","117.1","72.2","946.7","8.0","-","-","-","-","-"
