,Player,Pos,Team,Week,Passing,Rushing,Receiving,xFP
140,Jahmyr Gibbs,RB,DET,2,0.0,10.03,12.73,22.759999999999998
141,Jake Brendel,OL,SFO,1,0.0,0.0,1.56,1.56
142,Jake Briningstool,TE,KAN,1,0.0,0.0,1.59,1.59
143,Jake Ferguson,TE,DAL,1,0.0,0.0,3.19,3.19
144,Jakobi Meyers,WR,JAX,1,0.0,0.79,3.47,4.26
145,Jalen Coker,WR,CAR,1,0.0,0.0,15.8,15.8
146,Jalen Hurts,QB,PHI,1,10.49,3.0,0.0,13.49
147,Jalen Nailor,WR,LVR,1,0.0,0.0,8.67,8.67
148,James Cook,RB,BUF,1,0.0,8.64,5.83,14.47
149,James Cook,RB,BUF,2,0.0,14.75,4.65,19.4
150,Jameson Williams,WR,DET,1,0.0,0.0,15.96,15.96
151,Jameson Williams,WR,DET,2,0.0,0.0,6.87,6.87
152,Jared Goff,QB,DET,1,15.8,0.96,0.0,16.76
153,Jared Goff,QB,DET,2,17.94,1.92,0.0,19.86
154,Jared Wayne,WR,HOU,1,0.0,0.0,1.98,1.98
155,Jauan Jennings,WR,MIN,1,0.0,0.0,1.94,1.94
156,Javonte Williams,RB,DAL,1,0.0,8.36,7.4,15.76
157,Jaxon Smith-Njigba,WR,SEA,1,0.0,0.0,17.67,17.67
158,Jaxson Dart,QB,NYG,1,13.75,6.55,0.0,20.3
159,Jayden Daniels,QB,WAS,1,15.9,3.23,0.0,19.13
160,Jayden Reed,WR,GNB,1,0.0,0.0,11.48,11.48
161,Jaylen Waddle,WR,DEN,1,0.0,0.0,4.3,4.3
162,Jaylen Warren,RB,PIT,1,0.0,5.1,9.12,14.219999999999999
163,Jaylen Wright,RB,MIA,1,0.0,0.39,0.0,0.39
164,Jaylin Lane,WR,WAS,1,0.0,0.0,1.27,1.27
165,Jaylin Noel,WR,HOU,1,0.0,0.0,3.61,3.61
166,Jeremiyah Love,RB,ARI,1,0.0,7.35,6.5,13.85
167,Jeremy Ruckert,TE,NYJ,1,0.0,0.0,1.37,1.37
168,Jerry Jeudy,WR,CLE,1,0.0,0.0,6.24,6.24
169,Joe Burrow,QB,CIN,1,14.63,4.91,0.0,19.54
170,John Bates,TE,WAS,1,0.0,0.0,4.76,4.76
171,Jonathan Mingo,WR,DAL,1,0.0,0.0,1.54,1.54
172,Jonathan Taylor,RB,IND,1,0.0,10.9,5.65,16.55
173,Jonathon Brooks,RB,CAR,1,0.0,1.45,3.39,4.84
174,Jonnu Smith,TE,GNB,1,0.0,0.0,5.07,5.07
175,Jordan Addison,WR,MIN,1,0.0,0.0,3.54,3.54
176,Jordan Love,QB,GNB,1,21.37,0.97,0.0,22.34
177,Jordan Whittington,WR,LAR,1,0.0,0.0,1.86,1.86
178,Josh Allen,QB,BUF,1,14.47,4.35,0.0,18.82
179,Josh Allen,QB,BUF,2,14.02,10.97,0.0,24.990000000000002
180,Josh Cameron,WR,JAX,1,0.0,0.0,3.7,3.7
181,Josh Downs,WR,IND,1,0.0,0.0,7.31,7.31
182,Josh Oliver,TE,MIN,1,0.0,0.0,6.2,6.2
183,Joshua Palmer,WR,BUF,1,0.0,0.0,4.51,4.51
184,Joshua Palmer,WR,BUF,2,0.0,0.0,5.16,5.16
185,Justice Hill,RB,BAL,1,0.0,4.42,1.42,5.84
186,Justin Herbert,QB,LAC,1,11.08,3.66,0.0,14.74
187,Justin Jefferson,WR,MIN,1,0.0,0.0,14.88,14.88
188,Juwan Johnson,TE,NOR,1,0.0,0.0,12.11,12.11
189,KC Concepcion,WR,CLE,1,0.0,1.38,8.95,10.329999999999998
190,KaVontae Turpin,WR,DAL,1,0.0,0.0,1.53,1.53
191,Kaelon Black,RB,SFO,1,0.0,8.65,1.48,10.13
192,Kalif Raymond,WR,CHI,1,0.0,0.0,14.58,14.58
193,Kayshon Boutte,WR,HOU,1,0.0,0.0,3.91,3.91
194,Kaytron Allen,RB,WAS,1,0.0,3.36,0.0,3.36
195,Keaton Mitchell,RB,LAC,1,0.0,3.41,0.0,3.41
196,Keenan Allen,WR,IND,1,0.0,0.0,9.25,9.25
197,Kendre Miller,RB,NOR,1,0.0,6.6,0.0,6.6
198,Kendrick Bourne,WR,ARI,1,0.0,0.0,12.56,12.56
199,Kenneth Walker,RB,KAN,1,0.0,13.84,8.9,22.740000000000002
200,Kenny Gainwell,RB,TAM,1,0.0,4.07,1.34,5.41
201,Kenny Pickett,QB,CAR,1,0.35,0.65,0.0,1.0
202,Kenyon Sadiq,TE,NYJ,1,0.0,1.18,4.41,5.59
203,Keon Coleman,WR,BUF,1,0.0,0.0,1.53,1.53
204,Keon Coleman,WR,BUF,2,0.0,0.0,9.81,9.81
205,Kevin Coleman Jr.,WR,MIA,1,0.0,0.0,3.22,3.22
206,Khalil Shakir,WR,BUF,1,0.0,0.0,9.84,9.84
207,Khalil Shakir,WR,BUF,2,0.0,0.0,10.36,10.36
208,Kirk Cousins,QB,LVR,1,14.15,3.12,0.0,17.27
209,Konata Mumpfield,WR,LAR,1,0.0,0.0,1.92,1.92
210,Kyle Monangai,RB,CHI,1,0.0,6.81,3.5,10.309999999999999
211,Kyle Pitts,TE,ATL,1,0.0,0.0,1.86,1.86
