,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
312,Adam Thielen,MIN,SEA,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.6,0.3,2.8,0.01,0.01,2025-11-27 06:59:21 EST,FPts
313,Tylan Wallace,BAL,CIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.2,3.1,0.02,0.02,2025-11-27 06:59:21 EST,FPts
314,Ben Skowronek,PIT,BUF,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.3,2.6,0.02,0.02,2025-11-27 06:59:21 EST,FPts
315,Kendrick Bourne,SF,CLE,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,3.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
316,Devontez Walker,BAL,CIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,3.4,0.01,0.01,2025-11-27 06:59:21 EST,FPts
317,Dare Ogunbowale,HOU,IND,RB,0.0,0,0,0.0,0.0,0.2,0.7,0.0,0.4,0.3,2.1,0.0,0.0,2025-11-27 06:59:21 EST,FPts
318,Tucker Fisk,LAC,LVR,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.3,2.9,0.01,0.01,2025-11-27 06:59:21 EST,FPts
319,Kyle Williams,NWE,NYG,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,3.0,0.02,0.02,2025-11-27 06:59:21 EST,FPts
320,Trevor Etienne,CAR,LAR,RB,0.0,0,0,0.0,0.0,1.0,4.1,0.01,0.1,0.1,0.4,0.0,0.01,2025-11-27 06:59:21 EST,FPts
321,Darius Cooper,PHI,CHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.3,2.5,0.0,0.0,2025-11-27 06:59:21 EST,FPts
322,Kaleb Johnson,PIT,BUF,RB,0.0,0,0,0.0,0.0,0.7,2.6,0.02,0.1,0.1,0.6,0.0,0.02,2025-11-27 06:59:21 EST,FPts
323,Teagan Quitoriano,ATL,NYJ,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.3,2.3,0.01,0.01,2025-11-27 06:59:21 EST,FPts
324,Derius Davis,LAC,LVR,WR,0.0,0,0,0.0,0.0,0.1,0.4,0.0,0.3,0.2,1.7,0.01,0.01,2025-11-27 06:59:21 EST,FPts
325,Jared Wiley,KAN,DAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.3,2.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
326,Keleki Latu,BUF,PIT,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,2.2,0.01,0.01,2025-11-27 06:59:21 EST,FPts
327,Brenden Bates,CLE,SF,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,2.6,0.01,0.01,2025-11-27 06:59:21 EST,FPts
328,Alec Ingold,MIA,NOR,RB,0.0,0,0,0.0,0.0,0.2,0.5,0.01,0.3,0.2,1.6,0.01,0.02,2025-11-27 06:59:21 EST,FPts
329,Charlie Jones,CIN,BAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.4,0.2,2.4,0.01,0.01,2025-11-27 06:59:21 EST,FPts
330,Skyy Moore,SF,CLE,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,2.6,0.0,0.0,2025-11-27 06:59:21 EST,FPts
331,Dyami Brown,JAX,TEN,WR,0.0,0,0,0.0,0.0,0.3,1.6,0.01,0.2,0.1,1.2,0.01,0.02,2025-11-27 06:59:21 EST,FPts
332,Jaylen Wright,MIA,NOR,RB,0.0,0,0,0.0,0.0,0.8,3.1,0.01,0.1,0.0,0.3,0.0,0.01,2025-11-27 06:59:21 EST,FPts
333,Colson Yankoff,WAS,DEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,1.6,0.0,0.0,2025-11-27 06:59:21 EST,FPts
334,Tahj Washington,MIA,NOR,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,1.8,0.01,0.01,2025-11-27 06:59:21 EST,FPts
335,CJ Ham,MIN,SEA,RB,0.0,0,0,0.0,0.0,-,-,0.0,0.3,0.2,1.6,0.0,0.0,2025-11-27 06:59:21 EST,FPts
336,Nick Kallerup,SEA,MIN,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.2,1.4,0.01,0.01,2025-11-27 06:59:21 EST,FPts
337,Gunner Olszewski,NYG,NWE,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.7,0.01,0.01,2025-11-27 06:59:21 EST,FPts
338,Josiah Deguara,ARZ,TB,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.2,1.6,0.01,0.01,2025-11-27 06:59:21 EST,FPts
339,Andrew Beck,NYJ,ATL,RB,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.2,1.1,0.02,0.02,2025-11-27 06:59:21 EST,FPts
340,Kameron Johnson,TB,ARZ,WR,0.0,0,0,0.0,0.0,0.2,0.9,0.0,0.2,0.1,1.1,0.01,0.01,2025-11-27 06:59:21 EST,FPts
341,Terrell Jennings,NWE,NYG,RB,0.0,0,0,0.0,0.0,0.6,2.2,0.01,0.0,0.0,0.3,0.0,0.01,2025-11-27 06:59:21 EST,FPts
342,Brycen Tremayne,CAR,LAR,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
343,Connor Heyward,PIT,BUF,TE,0.0,0,0,0.0,0.0,0.7,1.2,0.01,0.1,0.1,0.7,0.01,0.02,2025-11-27 06:59:21 EST,FPts
344,Julius Chestnut,TEN,JAX,RB,0.0,0,0,0.0,0.0,0.4,1.5,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
345,Dylan Laube,LVR,LAC,RB,0.0,0,0,0.0,0.0,0.3,1.0,0.0,0.2,0.1,0.8,0.0,0.0,2025-11-27 06:59:21 EST,FPts
346,Quintin Morris,JAX,TEN,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.3,0.01,0.01,2025-11-27 06:59:21 EST,FPts
347,George Holani,SEA,MIN,RB,0.0,0,0,0.0,0.0,0.7,2.4,0.01,-,-,-,0.0,0.01,2025-11-27 06:59:21 EST,FPts
348,Brittain Brown,CHI,PHI,RB,0.0,0,0,0.0,0.0,0.3,1.4,0.02,-,-,-,0.0,0.02,2025-11-27 06:59:21 EST,FPts
349,Kylen Granson,PHI,CHI,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.2,0.9,0.0,0.0,2025-11-27 06:59:21 EST,FPts
350,Jacoby Jones,WAS,DEN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.4,0.0,0.0,2025-11-27 06:59:21 EST,FPts
351,Payne Durham,TB,ARZ,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.0,0.01,0.01,2025-11-27 06:59:21 EST,FPts
352,Jonathan Mingo,DAL,KAN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
353,Lil'Jordan Humphrey,DEN,WAS,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,1.1,0.01,0.01,2025-11-27 06:59:21 EST,FPts
354,Evan Hull,NOR,MIA,RB,0.0,0,0,0.0,0.0,0.7,2.2,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
355,Zach Horton,DET,GB,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,0.9,0.0,0.0,2025-11-27 06:59:21 EST,FPts
356,Scott Matlock,LAC,LVR,RB,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.6,0.01,0.01,2025-11-27 06:59:21 EST,FPts
357,Dominic Lovett,DET,GB,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.1,0.0,0.0,2025-11-27 06:59:21 EST,FPts
358,Jake Bobo,SEA,MIN,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,1.0,0.0,0.0,2025-11-27 06:59:21 EST,FPts
359,Jake Tonges,SF,CLE,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.8,0.01,0.01,2025-11-27 06:59:21 EST,FPts
360,Pharaoh Brown,ARZ,TB,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.2,0.1,1.0,0.0,0.0,2025-11-27 06:59:21 EST,FPts
361,Jack Westover,NWE,NYG,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.8,0.0,0.0,2025-11-27 06:59:21 EST,FPts
362,Bo Melton,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,1.1,0.0,0.0,2025-11-27 06:59:21 EST,FPts
363,Will Sheppard,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.9,0.0,0.0,2025-11-27 06:59:21 EST,FPts
364,Reggie Gilliam,BUF,PIT,RB,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.6,0.0,0.0,2025-11-27 06:59:21 EST,FPts
365,Gary Brightwell,CIN,BAL,RB,0.0,0,0,0.0,0.0,0.4,1.5,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
366,Zaire Mitchell-Paden,NOR,MIA,RB,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
367,Rasheen Ali,BAL,CIN,RB,0.0,0,0,0.0,0.0,0.3,1.4,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
368,Anthony Gould,IND,HOU,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
369,Blake Whiteheart,CLE,SF,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
370,Scotty Miller,PIT,BUF,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
371,Jacob Saylors,DET,GB,RB,0.0,0,0,0.0,0.0,0.2,0.9,0.01,-,-,-,0.0,0.01,2025-11-27 06:59:21 EST,FPts
372,Tom Kennedy,DET,GB,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.7,0.0,0.0,2025-11-27 06:59:21 EST,FPts
373,Nate Carter,ATL,NYJ,RB,0.0,0,0,0.0,0.0,0.3,1.0,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
374,Tyler Conklin,LAC,LVR,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.1,0.5,0.0,0.0,2025-11-27 06:59:21 EST,FPts
375,Kene Nwangwu,NYJ,ATL,RB,0.0,0,0,0.0,0.0,0.3,1.0,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
376,Devin Duvernay,CHI,PHI,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.0,0.4,0.0,0.0,2025-11-27 06:59:21 EST,FPts
377,Jermar Jefferson,ARZ,TB,RB,0.0,0,0,0.0,0.0,0.2,0.8,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
378,Eric Gray,NYG,NWE,RB,0.0,0,0,0.0,0.0,0.2,0.8,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
379,Kevin Austin,NOR,MIA,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.1,0.0,0.4,0.0,0.0,2025-11-27 06:59:21 EST,FPts
380,Feleipe Franks,ATL,NYJ,TE,0.0,0,0,0.0,0.0,0.5,0.8,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
381,British Brooks,HOU,IND,RB,0.0,0,0,0.0,0.0,0.2,0.6,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
382,David Martin-Robinson,TEN,JAX,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.0,0.0,0.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
383,Chris Manhertz,NYG,NWE,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.0,0.0,0.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
384,Patrick Ricard,BAL,CIN,RB,0.0,0,0,0.0,0.0,0.1,0.4,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
385,Carter Runyon,LVR,LAC,TE,0.0,0,0,0.0,0.0,-,-,0.0,0.0,0.0,0.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
386,Nikko Remigio,KAN,DAL,WR,0.0,0,0,0.0,0.0,-,-,0.0,0.0,0.0,0.2,0.0,0.0,2025-11-27 06:59:21 EST,FPts
387,Sione Vaki,DET,GB,RB,0.0,0,0,0.0,0.0,0.1,0.2,0.0,-,-,-,0.0,0.0,2025-11-27 06:59:21 EST,FPts
