,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
59,Kyren Williams,LAR,CAR,RB,0.0,0,0,0.0,0.0,15.9,75.6,0.61,2.3,1.8,11.8,0.1,0.71,2025-11-27 06:59:21 EST,FPts
60,Tyler Shough,NOR,MIA,QB,35.0,23,226,1.09,0.7,5.0,11.7,0.15,-,-,-,0.0,0.15,2025-11-27 06:59:21 EST,FPts
61,Zay Flowers,BAL,CIN,WR,0.0,0,0,0.0,0.0,0.9,5.8,0.01,6.4,4.7,70.4,0.38,0.39,2025-11-27 06:59:21 EST,FPts
62,Khalil Shakir,BUF,PIT,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,7.7,6.0,66.2,0.32,0.32,2025-11-27 06:59:21 EST,FPts
63,Bucky Irving,TB,ARZ,RB,0.0,0,0,0.0,0.0,14.1,62.4,0.48,3.0,2.6,20.6,0.12,0.6,2025-11-27 06:59:21 EST,FPts
64,Deebo Samuel,WAS,DEN,WR,0.0,0,0,0.0,0.0,0.9,3.7,0.05,8.0,5.9,56.3,0.38,0.43,2025-11-27 06:59:21 EST,FPts
65,Justin Jefferson,MIN,SEA,WR,0.0,0,0,0.0,0.0,0.0,0.1,0.0,9.3,5.6,65.8,0.34,0.34,2025-11-27 06:59:21 EST,FPts
66,Tua Tagovailoa,MIA,NOR,QB,29.0,20,204,1.71,1.08,1.4,3.6,0.01,-,-,-,0.0,0.01,2025-11-27 06:59:21 EST,FPts
67,Travis Kelce,KAN,DAL,TE,0.0,0,0,0.0,0.0,-,-,0.0,6.9,5.2,64.1,0.4,0.4,2025-11-27 06:59:21 EST,FPts
68,George Kittle,SF,CLE,TE,0.0,0,0,0.0,0.0,0.1,0.3,0.0,6.4,4.9,62.4,0.47,0.47,2025-11-27 06:59:21 EST,FPts
69,Brock Bowers,LVR,LAC,TE,0.0,0,0,0.0,0.0,0.2,0.5,0.0,7.5,5.4,59.3,0.38,0.38,2025-11-27 06:59:21 EST,FPts
70,Cam Ward,TEN,JAX,QB,35.0,21,210,1.21,0.64,2.6,9.8,0.05,-,-,-,0.0,0.05,2025-11-27 06:59:21 EST,FPts
71,Bryce Young,CAR,LAR,QB,34.0,21,211,1.2,0.96,2.4,11.2,0.06,-,-,-,0.0,0.06,2025-11-27 06:59:21 EST,FPts
72,Christian Watson,GB,DET,WR,0.0,0,0,0.0,0.0,-,-,0.0,6.3,3.9,64.4,0.52,0.52,2025-11-27 06:59:21 EST,FPts
73,Aaron Rodgers,PIT,BUF,QB,30.0,20,202,1.45,0.74,1.4,3.0,0.02,-,-,-,0.0,0.02,2025-11-27 06:59:21 EST,FPts
74,Ladd McConkey,LAC,LVR,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.1,5.0,62.0,0.37,0.37,2025-11-27 06:59:21 EST,FPts
75,Troy Franklin,DEN,WAS,WR,0.0,0,0,0.0,0.0,0.3,1.1,0.0,7.3,4.4,50.8,0.58,0.58,2025-11-27 06:59:21 EST,FPts
76,Michael Pittman Jr.,IND,HOU,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.1,5.2,55.0,0.38,0.38,2025-11-27 06:59:21 EST,FPts
77,Emeka Egbuka,TB,ARZ,WR,0.0,0,0,0.0,0.0,0.1,0.3,0.0,7.5,4.4,54.4,0.5,0.5,2025-11-27 06:59:21 EST,FPts
78,Shedeur Sanders,CLE,SF,QB,33.0,19,200,1.01,1.03,3.5,17.3,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
