,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
77,SG,Sam Merrill (40588243),Sam Merrill,40588243,SG/G/UTIL,4700,CLE@BOS 10/29/2025 07:00PM ET,CLE,26.38
78,PG,Egor Demin (40588252),Egor Demin,40588252,PG/G/UTIL,4700,ATL@BKN 10/29/2025 07:30PM ET,BKN,19.25
79,SF,Zaccharie Risacher (40588260),Zaccharie Risacher,40588260,SF/F/UTIL,4700,ATL@BKN 10/29/2025 07:30PM ET,ATL,11.5
80,SG/SF,Ace Bailey (40588255),Ace Bailey,40588255,SG/SF/F/G/UTIL,4700,POR@UTA 10/29/2025 09:00PM ET,UTA,7.75
81,C,Daniel Gafford (40588250),Daniel Gafford,40588250,C/UTIL,4700,IND@DAL 10/29/2025 08:30PM ET,DAL,0.0
82,C,Isaiah Stewart (40588241),Isaiah Stewart,40588241,C/UTIL,4700,ORL@DET 10/29/2025 07:00PM ET,DET,26.19
83,SF/PF,Saddiq Bey (40588246),Saddiq Bey,40588246,SF/PF/F/UTIL,4700,NOP@DEN 10/29/2025 09:00PM ET,NOP,20.75
84,SG,Klay Thompson (40588263),Klay Thompson,40588263,SG/G/UTIL,4600,IND@DAL 10/29/2025 08:30PM ET,DAL,17.25
85,PG,Russell Westbrook (40588279),Russell Westbrook,40588279,PG/G/UTIL,4500,SAC@CHI 10/29/2025 08:00PM ET,SAC,26.38
86,PG/SG,Lonzo Ball (40588271),Lonzo Ball,40588271,PG/SG/G/UTIL,4500,CLE@BOS 10/29/2025 07:00PM ET,CLE,20.83
87,SG/SF,Brice Sensabaugh (40588266),Brice Sensabaugh,40588266,SG/SF/F/G/UTIL,4500,POR@UTA 10/29/2025 09:00PM ET,UTA,20.5
88,SF/PF,Jarace Walker (40588282),Jarace Walker,40588282,SF/PF/F/UTIL,4500,IND@DAL 10/29/2025 08:30PM ET,IND,22.83
89,PG/SG,Jeremiah Fears (40588275),Jeremiah Fears,40588275,PG/SG/G/UTIL,4500,NOP@DEN 10/29/2025 09:00PM ET,NOP,16.33
90,SF/PF,Sam Hauser (40588286),Sam Hauser,40588286,SF/PF/F/UTIL,4400,CLE@BOS 10/29/2025 07:00PM ET,BOS,18.5
91,C,Day'Ron Sharpe (40588290),Day'Ron Sharpe,40588290,C/UTIL,4400,ATL@BKN 10/29/2025 07:30PM ET,BKN,20.81
92,C,Drew Eubanks (40588300),Drew Eubanks,40588300,C/UTIL,4300,SAC@CHI 10/29/2025 08:00PM ET,SAC,9.75
93,PF/C,Mouhamed Gueye (40588304),Mouhamed Gueye,40588304,PF/C/F/UTIL,4300,ATL@BKN 10/29/2025 07:30PM ET,ATL,15.25
94,SG,Svi Mykhailiuk (40588311),Svi Mykhailiuk,40588311,SG/G/UTIL,4300,POR@UTA 10/29/2025 09:00PM ET,UTA,20.0
95,SF/PF,Ronald Holland II (40588292),Ronald Holland II,40588292,SF/PF/F/UTIL,4300,ORL@DET 10/29/2025 07:00PM ET,DET,23.38
96,C,Moritz Wagner (40588302),Moritz Wagner,40588302,C/UTIL,4300,ORL@DET 10/29/2025 07:00PM ET,ORL,0.0
97,SG,Duncan Robinson (40588308),Duncan Robinson,40588308,SG/G/UTIL,4300,ORL@DET 10/29/2025 07:00PM ET,DET,15.31
98,PF/C,Derik Queen (40588296),Derik Queen,40588296,PF/C/F/UTIL,4300,NOP@DEN 10/29/2025 09:00PM ET,NOP,19.33
99,C,Luka Garza (40588314),Luka Garza,40588314,C/UTIL,4200,CLE@BOS 10/29/2025 07:00PM ET,BOS,11.25
100,PG,Walter Clayton Jr. (40588316),Walter Clayton Jr.,40588316,PG/G/UTIL,4200,POR@UTA 10/29/2025 09:00PM ET,UTA,21.17
101,SG/SF,Ben Sheppard (40588319),Ben Sheppard,40588319,SG/SF/F/G/UTIL,4200,IND@DAL 10/29/2025 08:30PM ET,IND,24.75
102,PF/C,Karlo Matkovic (40588324),Karlo Matkovic,40588324,PF/C/F/UTIL,4100,NOP@DEN 10/29/2025 09:00PM ET,NOP,0.0
103,SG/SF,Nique Clifford (40588331),Nique Clifford,40588331,SG/SF/F/G/UTIL,4000,SAC@CHI 10/29/2025 08:00PM ET,SAC,20.5
104,SF,Josh Minott (40588328),Josh Minott,40588328,SF/F/UTIL,4000,CLE@BOS 10/29/2025 07:00PM ET,BOS,19.67
105,SF,Jaylon Tyson (40588349),Jaylon Tyson,40588349,SF/F/UTIL,4000,CLE@BOS 10/29/2025 07:00PM ET,CLE,11.62
106,SG/SF,Ziaire Williams (40588344),Ziaire Williams,40588344,SG/SF/F/G/UTIL,4000,ATL@BKN 10/29/2025 07:30PM ET,BKN,17.17
107,PF/C,Noah Clowney (40588354),Noah Clowney,40588354,PF/C/F/UTIL,4000,ATL@BKN 10/29/2025 07:30PM ET,BKN,12.5
108,SF/PF,Naji Marshall (40588340),Naji Marshall,40588340,SF/PF/F/UTIL,4000,IND@DAL 10/29/2025 08:30PM ET,DAL,18.19
109,PG/SG,Anthony Black (40588336),Anthony Black,40588336,PG/SG/G/UTIL,4000,ORL@DET 10/29/2025 07:00PM ET,ORL,21.25
110,C,Jonas Valanciunas (40588352),Jonas Valanciunas,40588352,C/UTIL,4000,NOP@DEN 10/29/2025 09:00PM ET,DEN,16.33
111,SF/PF,Patrick Williams (40588358),Patrick Williams,40588358,SF/PF/F/UTIL,3900,SAC@CHI 10/29/2025 08:00PM ET,CHI,20.67
112,SG,Keon Ellis (40588367),Keon Ellis,40588367,SG/G/UTIL,3900,SAC@CHI 10/29/2025 08:00PM ET,SAC,15.75
113,SG/SF,Max Christie (40588362),Max Christie,40588362,SG/SF/F/G/UTIL,3900,IND@DAL 10/29/2025 08:30PM ET,DAL,17.81
114,SG/SF,Tim Hardaway Jr. (40588370),Tim Hardaway Jr.,40588370,SG/SF/F/G/UTIL,3900,NOP@DEN 10/29/2025 09:00PM ET,DEN,16.42
115,SF,Isaac Okoro (40588381),Isaac Okoro,40588381,SF/F/UTIL,3800,SAC@CHI 10/29/2025 08:00PM ET,CHI,9.75
116,SF,Terance Mann (40588387),Terance Mann,40588387,SF/F/UTIL,3800,ATL@BKN 10/29/2025 07:30PM ET,BKN,20.5
117,C,Jusuf Nurkic (40588375),Jusuf Nurkic,40588375,C/UTIL,3800,POR@UTA 10/29/2025 09:00PM ET,UTA,23.83
118,PG,RayJ Dennis (40588390),RayJ Dennis,40588390,PG/G/UTIL,3800,IND@DAL 10/29/2025 08:30PM ET,IND,24.75
119,PG/SG,Marcus Sasser (40588377),Marcus Sasser,40588377,PG/SG/G/UTIL,3800,ORL@DET 10/29/2025 07:00PM ET,DET,0.0
120,PG,Daniss Jenkins (40588384),Daniss Jenkins,40588384,PG/G/UTIL,3800,ORL@DET 10/29/2025 07:00PM ET,DET,10.0
121,C,Jalen Smith (40588397),Jalen Smith,40588397,C/UTIL,3700,SAC@CHI 10/29/2025 08:00PM ET,CHI,11.92
122,PF/C,Chris Boucher (40588393),Chris Boucher,40588393,PF/C/F/UTIL,3700,CLE@BOS 10/29/2025 07:00PM ET,BOS,8.44
123,SF/PF,Dean Wade (40588399),Dean Wade,40588399,SF/PF/F/UTIL,3700,CLE@BOS 10/29/2025 07:00PM ET,CLE,14.81
124,PF/C,Danny Wolf (40588406),Danny Wolf,40588406,PF/C/F/UTIL,3700,ATL@BKN 10/29/2025 07:30PM ET,BKN,0.0
125,PG/SG,Luke Kennard (40588410),Luke Kennard,40588410,PG/SG/G/UTIL,3700,ATL@BKN 10/29/2025 07:30PM ET,ATL,13.38
126,PG,Jose Alvarado (40588403),Jose Alvarado,40588403,PG/G/UTIL,3700,NOP@DEN 10/29/2025 09:00PM ET,NOP,7.88
127,SF/PF,Peyton Watson (40588414),Peyton Watson,40588414,SF/PF/F/UTIL,3700,NOP@DEN 10/29/2025 09:00PM ET,DEN,13.83
