,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
189,C,N'Faly Dante (40588778),N'Faly Dante,40588778,C/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,ATL,5.62
190,SF/PF,Caleb Houstan (40588780),Caleb Houstan,40588780,SF/PF/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,ATL,0.0
191,PF,Jacob Toppin (40588784),Jacob Toppin,40588784,PF/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,ATL,2.0
192,PF/C,Eli Ndiaye (40588787),Eli Ndiaye,40588787,PF/C/F/UTIL,3000,ATL@BKN 10/29/2025 07:30PM ET,ATL,0.0
193,PF,Kyle Anderson (40588676),Kyle Anderson,40588676,PF/F/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
194,SF,Cody Williams (40588679),Cody Williams,40588679,SF/F/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
195,C,Oscar Tshiebwe (40588682),Oscar Tshiebwe,40588682,C/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
196,SG,John Tonje (40588684),John Tonje,40588684,SG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
197,C,Kevin Love (40588687),Kevin Love,40588687,C/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
198,PG,EJ Harkless (40588689),EJ Harkless,40588689,PG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
199,SF/PF,Georges Niang (40588692),Georges Niang,40588692,SF/PF/F/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,UTA,0.0
200,C,Hansen Yang (40588791),Hansen Yang,40588791,C/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,3.75
201,PF/C,Duop Reath (40588793),Duop Reath,40588793,PF/C/F/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,2.75
202,PG/SG,Rayan Rupert (40588797),Rayan Rupert,40588797,PG/SG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,1.75
203,PG/SG,Caleb Love (40588801),Caleb Love,40588801,PG/SG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,12.0
204,SG/SF,Sidy Cissoko (40588805),Sidy Cissoko,40588805,SG/SF/F/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,0.0
205,SG,Javonte Cooke (40588810),Javonte Cooke,40588810,SG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,0.0
206,PG,Damian Lillard (40588813),Damian Lillard,40588813,PG/G/UTIL,3000,POR@UTA 10/29/2025 09:00PM ET,POR,0.0
207,PG,Quenton Jackson (40588545),Quenton Jackson,40588545,PG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,6.5
208,PG,Ryan Nembhard (40588553),Ryan Nembhard,40588553,PG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,5.42
209,PF/C,Moussa Cisse (40588556),Moussa Cisse,40588556,PF/C/F/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,0.0
210,SG,Miles Kelly (40588560),Miles Kelly,40588560,SG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,-0.5
211,SF/PF,Caleb Martin (40588563),Caleb Martin,40588563,SF/PF/F/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,4.42
212,PF/C,Dwight Powell (40588567),Dwight Powell,40588567,PF/C/F/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,3.33
213,PG/SG,Dante Exum (40588571),Dante Exum,40588571,PG/SG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,0.0
214,PG,Kyrie Irving (40588575),Kyrie Irving,40588575,PG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,DAL,0.0
215,C,James Wiseman (40588696),James Wiseman,40588696,C/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,9.5
216,PG/SG,Taelon Peter (40588698),Taelon Peter,40588698,PG/SG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,3.25
217,SG/SF,Johnny Furphy (40588702),Johnny Furphy,40588702,SG/SF/F/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,0.0
218,PG,Kam Jones (40588707),Kam Jones,40588707,PG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,0.0
219,PG,Tyrese Haliburton (40588710),Tyrese Haliburton,40588710,PG/G/UTIL,3000,IND@DAL 10/29/2025 08:30PM ET,IND,0.0
220,C,Orlando Robinson (40588539),Orlando Robinson,40588539,C/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,0.0
221,PF/C,Jonathan Isaac (40588541),Jonathan Isaac,40588541,PF/C/F/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,2.83
222,SG/SF,Jett Howard (40588548),Jett Howard,40588548,SG/SF/F/G/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,3.5
223,SG/SF,Colby Jones (40588647),Colby Jones,40588647,SG/SF/F/G/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,DET,10.0
224,C,Tolu Smith (40588652),Tolu Smith,40588652,C/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,DET,17.5
225,SF/PF,Bobi Klintman (40588654),Bobi Klintman,40588654,SF/PF/F/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,DET,9.75
226,PG,Jaden Ivey (40588658),Jaden Ivey,40588658,PG/G/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,DET,0.0
227,C,Colin Castleton (40588762),Colin Castleton,40588762,C/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,0.0
228,SF,Jamal Cain (40588764),Jamal Cain,40588764,SF/F/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,0.0
229,PG/SG,Jase Richardson (40588767),Jase Richardson,40588767,PG/SG/G/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,2.0
230,SF/PF,Noah Penda (40588771),Noah Penda,40588771,SF/PF/F/UTIL,3000,ORL@DET 10/29/2025 07:00PM ET,ORL,7.5
231,PF,Hunter Tyson (40588578),Hunter Tyson,40588578,PF/F/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,1.25
232,SG,Tamar Bates (40588581),Tamar Bates,40588581,SG/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,0.0
233,SG/SF,Spencer Jones (40588584),Spencer Jones,40588584,SG/SF/F/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,1.0
234,C,DaRon Holmes II (40588589),DaRon Holmes II,40588589,C/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,1.75
235,PG,Jalen Pickett (40588591),Jalen Pickett,40588591,PG/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,1.0
236,PF/C,Zeke Nnaji (40588594),Zeke Nnaji,40588594,PF/C/F/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,1.75
237,SG/SF,Julian Strawther (40588598),Julian Strawther,40588598,SG/SF/F/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,2.5
238,PG,Curtis Jones (40588603),Curtis Jones,40588603,PG/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,DEN,0.0
239,SG/SF,Micah Peavy (40588713),Micah Peavy,40588713,SG/SF/F/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,NOP,4.5
240,SG/SF,Bryce McGowens (40588718),Bryce McGowens,40588718,SG/SF/F/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,NOP,0.0
241,PG/SG,Trey Alexander (40588723),Trey Alexander,40588723,PG/SG/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,NOP,0.0
242,C,Kevon Looney (40588727),Kevon Looney,40588727,C/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,NOP,0.0
243,PG/SG,Dejounte Murray (40588729),Dejounte Murray,40588729,PG/SG/G/UTIL,3000,NOP@DEN 10/29/2025 09:00PM ET,NOP,0.0
