"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"British Brooks","RB","HOU","SF","0.2","0.2","0.2","0.1","0.2","0.2","0.9","0.8","Main"
"Robert Tonyan","TE","KC","WAS","0.2","0.1","0.2","0.1","0.1","0.2","0.8","0.6","Monday"
"Derius Davis","WR","LAC","MIN","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.9","Thursday"
"Zavier Scott","RB","MIN","@LAC","0.2","0.2","0.2","0.2","0.2","0.2","1.1","1.0","Thursday"
"Beaux Collins","WR","NYG","@PHI","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Main"
"John Metchie","WR","PHI","NYG","0.2","0.2","0.2","0.1","0.2","0.2","1.1","0.9","Main"
"Devin Culp","TE","TB","@NO","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"Julius Chestnut","RB","TEN","@IND","0.2","0.2","0.2","0.2","0.2","0.2","1.1","0.9","Main"
"Teagan Quitoriano","TE","ATL","MIA","0.1","0.1","0.2","0.1","0.1","0.1","0.7","0.6","Main"
"Zaire Mitchell-Paden","TE","BAL","CHI","0.1","0.1","0.2","0.1","0.1","0.1","0.7","0.6","Main"
"Reggie Gilliam","TE","BUF","@CAR","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Tahj Brooks","RB","CIN","NYJ","0.1","0.1","0.1","0.1","0.1","0.1","0.7","0.7","Main"
"Malik Davis","RB","DAL","@DEN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","Main"
"Brenden Bates","TE","HOU","SF","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Laquon Treadwell","WR","IND","TEN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Tyler Conklin","TE","LAC","MIN","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.0","Thursday"
"Ben Yurosek","TE","MIN","@LAC","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.4","Thursday"
"Tai Felton","WR","MIN","@LAC","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Thursday"
"Efton Chism","WR","NE","CLE","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Jack Westover","TE","NE","CLE","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Gunner Olszewski","WR","NYG","@PHI","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Thomas Fidone","TE","NYG","@PHI","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Kene Nwangwu","RB","NYJ","@CIN","0.1","0.1","0.1","0.0","0.1","0.1","0.4","0.3","Main"
"EJ Jenkins","TE","PHI","NYG","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Cameron Latu","TE","PHI","NYG","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Ke'Shawn Williams","WR","PIT","GB","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Sunday"
"Isaac Guerendo","RB","SF","@HOU","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.4","Main"
"Owen Wright","RB","TB","@NO","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Main"
"David Martin-Robinson","TE","TEN","@IND","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Cooper Rush","QB","BAL","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Main"
